method,method_label,method_kind,regime,budget_fraction,budget_bytes,used_protection_bytes,budget_utilization,protected_expert_count,total_projected_expert_bytes,effective_bits_per_weight,coverage_general,coverage_math,coverage_coding,coverage_reasoning,coverage_min,coverage_mean,routing_coverage_min
robust_functional,Robust-Functional,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.3953422664745733,0.39726739287366347,0.3970673776964887,0.39479812853204405,0.39479812853204405,0.3961187913941924,0.27261275502642884
robust_routing,Robust-Routing,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.3396715792171035,0.3636488498439179,0.40928941756743664,0.3723988963245528,0.3396715792171035,0.3712521857382527,0.3699212933418421
average_specialization,Average-Specialization,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.23211870990825256,0.4242400759873484,0.6069421252425719,0.4145928362311662,0.23211870990825256,0.4194734368423348,0.213571580514784
global_importance,Global-Importance,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.001338864169389044,0.2579756009805054,0.6471657114252791,0.27643867905005326,0.001338864169389044,0.2957297139063067,0.0012231440119123609
general_only,General-Only,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.4747791671633564,0.0910684813607628,0.05425159721886699,0.06973869367045164,0.05425159721886699,0.17245948485335943,0.03474341192787796
math_only,Math-Only,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.0015269455358011541,0.5900064630541889,0.1359758060841597,0.07718695909989037,0.0015269455358011541,0.20117404344351003,0.002446288023824718
coding_only,Coding-Only,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.0004435853860928761,0.068332145121167,0.8785800265387698,0.027735323914992175,0.0004435853860928761,0.24377277024025545,0.0
reasoning_only,Reasoning-Only,deterministic_milp,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.0015269455358011541,0.044188525077634745,0.10293794042078974,0.635181046103859,0.0015269455358011541,0.19595861428452116,0.001701765581791109
random_seed1001,Random (seed 1001),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.09066929572864754,0.06586383412679671,0.08821370829242932,0.1008993150069237,0.06586383412679671,0.08641153828869932,0.0801036997978733
random_seed1002,Random (seed 1002),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.0994448320720592,0.1389353099031428,0.11957700286027949,0.05836236636924215,0.05836236636924215,0.1040798778011809,0.052843273231622745
random_seed1003,Random (seed 1003),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.0957656616379711,0.0829034095960595,0.11188010722588342,0.09026918701048761,0.0829034095960595,0.0952045913676004,0.07970823446700064
random_seed1004,Random (seed 1004),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.08747726210365858,0.07137422231729557,0.1081903424503106,0.0516853317281744,0.0516853317281744,0.0796817896498598,0.06674757281553398
random_seed1005,Random (seed 1005),random,4to8,0.1,322122547,320864256,0.9960937506184564,102,3642753024,4.5234375,0.06201626097107869,0.08340535741376266,0.060443895105193775,0.15434386195759373,0.060443895105193775,0.09005234386190722,0.06686261917699944
