capacity,improvement_vs_stage1,improvement_ci_low,improvement_ci_high,original_oracle_gap_closed,stage1_gap_closed,stage1_residual_recovered,residual_headroom
12,0.028523085972406,0.027034056808420994,0.030390658829582577,0.24827494564041525,0.09037745910041063,0.17358572313285986,0.13361255138820058
16,0.039734229920238805,0.03733983702639408,0.04223722801550016,0.25162098420806334,0.10688601076077416,0.16205655178526276,0.1995963440474035
24,0.048819163253007544,0.045081271026501266,0.052232193483474,0.23405745064624756,0.11052840212464406,0.13887913770003701,0.2900344238785368
32,0.05745262341649457,0.05243688353971773,0.06246708934942618,0.21246832449457917,0.09255523230465561,0.1321436813112816,0.36129946533464014
