branch,phase,step,theta0,theta1,loss,g0,g1,g_norm,m0,m1,m_norm,v0,v1,sqrt_v0,sqrt_v1,adam_step_count,cos_m_g,update0,update1,update_norm,predicted_update_norm,predicted_matches_actual,update_cos_neg_g
warmup,A,0,-1.0,1.0,8.125,-4.0,0.25,4.007804870605469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.09999996423721313,-0.09999996423721313,0.14142130315303802,0.14142043888568878,True,0.7498378753662109
warmup,A,1,-0.9000000357627869,0.9000000357627869,7.7062506675720215,-3.9000000953674316,0.22500000894069672,3.906485080718994,-0.4000000059604645,0.02500000037252903,0.40078049898147583,0.01600000075995922,6.25000029685907e-05,0.12649111449718475,0.007905694656074047,1.0,0.9999884963035583,0.09992599487304688,-0.09958773851394653,0.14107771217823029,0.14107631146907806,True,0.7477865815162659
warmup,A,2,-0.80007404088974,0.8004122972488403,7.300364017486572,-3.8000741004943848,0.20010307431221008,3.8053388595581055,-0.75,0.04500000178813934,0.7513487935066223,0.03119400329887867,0.00011306250962661579,0.17661824822425842,0.01063308585435152,2.0,0.9999732375144958,0.09980016946792603,-0.09882593154907227,0.1404515504837036,0.14045104384422302,True,0.7465837001800537
warmup,A,3,-0.700273871421814,0.7015863656997681,6.907541751861572,-3.7002739906311035,0.17539659142494202,3.7044286727905273,-1.0550074577331543,0.0605103075504303,1.0567413568496704,0.045603372156620026,0.0001529906876385212,0.21354946494102478,0.012368940748274326,3.0,0.999950647354126,0.09962064027786255,-0.09764719009399414,0.13949640095233917,0.13949504494667053,True,0.7464873194694519
warmup,A,4,-0.6006532311439514,0.6039391756057739,6.527944564819336,-3.6006531715393066,0.15098479390144348,3.6038174629211426,-1.3195340633392334,0.07199893891811371,1.321496844291687,0.05924979969859123,0.00018360167450737208,0.2434128224849701,0.013549969531595707,4.0,0.9999206066131592,0.09938567876815796,-0.09597539901733398,0.13816218078136444,0.13816095888614655,True,0.7478122711181641
warmup,A,5,-0.5012675523757935,0.5079637765884399,6.1616902351379395,-3.501267433166504,0.12699094414710999,3.5035696029663086,-1.547645926475525,0.07989752292633057,1.5497069358825684,0.07215525209903717,0.00020621447765734047,0.26861730217933655,0.014360169880092144,5.0,0.9998825192451477,0.09909370541572571,-0.09372720122337341,0.13639776408672333,0.1363970786333084,True,0.7509349584579468
warmup,A,6,-0.40217384696006775,0.41423657536506653,5.808842182159424,-3.4021737575531006,0.10355914384126663,3.403749465942383,-1.7430081367492676,0.08460686355829239,1.7450603246688843,0.08434197306632996,0.00022213495685718954,0.2904168963432312,0.01490419264882803,6.0,0.9998366832733154,0.09874311089515686,-0.09081575274467468,0.1341555118560791,0.13415446877479553,True,0.7562900185585022
warmup,A,7,-0.3034307360649109,0.32342082262039185,5.46940279006958,-3.3034307956695557,0.08085520565509796,3.304420232772827,-1.9089246988296509,0.0865020900964737,1.9108835458755493,0.09583242237567902,0.00023263732146006078,0.3095681369304657,0.015252453275024891,7.0,0.9997835159301758,0.0983324944972992,-0.0871569812297821,0.13139870762825012,0.13139773905277252,True,0.7643581032752991
warmup,A,8,-0.2050982415676117,0.23626384139060974,5.143304824829102,-3.2050981521606445,0.059065960347652435,3.2056424617767334,-2.048375368118286,0.08593740314245224,2.0501773357391357,0.106649249792099,0.0002389422443229705,0.3265719711780548,0.01545775681734085,8.0,0.9997237920761108,0.09786052256822586,-0.08267916738986969,0.12811137735843658,0.1281103491783142,True,0.7756322622299194
warmup,A,9,-0.10723771899938583,0.15358467400074005,4.8304123878479,-3.1072378158569336,0.03839616850018501,3.1074750423431396,-2.1640477180480957,0.0832502618432045,2.1656484603881836,0.11681525409221649,0.00024219209444709122,0.34178248047828674,0.01556252222508192,9.0,0.999659538269043,0.09732598811388016,-0.0773354098200798,0.12431055307388306,0.1243097260594368,True,0.7905532717704773
warmup,A,10,-0.009911730885505676,0.07624926418066025,4.530511379241943,-3.0099117755889893,0.019062316045165062,3.009972095489502,-2.258366823196411,0.07876485586166382,2.259739875793457,0.12635336816310883,0.00024342417600564659,0.3554621934890747,0.015602056868374348,10.0,0.9995931386947632,0.09672784805297852,-0.07111765444278717,0.12005830556154251,0.12005750834941864,True,0.8094092607498169
warmup,A,11,0.08681611716747284,0.005131609737873077,4.243323802947998,-2.9131839275360107,0.0012829024344682693,2.913184404373169,-2.3335213661193848,0.0727946013212204,2.3346564769744873,0.1352865844964981,0.00024354412744287401,0.36781325936317444,0.015605900436639786,11.0,0.9995273947715759,0.09606517851352692,-0.06406939774751663,0.11547037214040756,0.11546949297189713,True,0.8321906924247742
warmup,A,12,0.18288129568099976,-0.058937788009643555,3.968512773513794,-2.8171186447143555,-0.014734447002410889,2.817157030105591,-2.3914875984191895,0.06564342975616455,2.392388343811035,0.14363794028759003,0.00024330223095603287,0.37899595499038696,0.015598148107528687,12.0,0.9994664192199707,0.09533721208572388,-0.0562930554151535,0.11071626842021942,0.11071548610925674,True,0.8584238290786743
warmup,A,13,0.27821850776672363,-0.11523084342479706,3.70570707321167,-2.7217814922332764,-0.028807710856199265,2.7219338417053223,-2.4340507984161377,0.057605642825365067,2.434732437133789,0.15143047273159027,0.0002432760375086218,0.38914069533348083,0.015597308985888958,13.0,0.9994136691093445,0.09454336762428284,-0.047948554158210754,0.10600713640451431,0.10600633919239044,True,0.887021541595459
