variant,capacity,resolved_examples,cumulative_mixture_rank_loss,best_fixed_adviser_rank_loss,best_fixed_adviser_by_rank_loss,empirical_rank_regret,empirical_rank_regret_per_example,cumulative_mixture_cost_loss,best_fixed_adviser_cost_loss,best_fixed_adviser_by_cost_loss,empirical_cost_regret,mean_mixture_rank_loss,mean_adviser_rank_loss,adviser_order
RACE_ONLINE,8,0,0.0,0.0,MARKOV_H1,0.0,0.0,0.0,0.0,MARKOV_H1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE,12,2673313,923718.1290769993,922397.1348119838,LFU_DECAY,1320.9942650154699,0.00049414126404782,864185.3565850233,870594.5351244453,LFU_DECAY,-6409.178539421991,0.3455331003429076,"[0.3653264119033016, 0.3652613655594624, 0.3756429612818433, 0.39599963106855535, 0.41901065620875033, 0.43383261538933743, 0.35469395436526563, 0.34503895907885973, 0.5344853958998781]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE,16,2536678,942309.4963251902,941779.485789133,LFU_DECAY,530.0105360571761,0.00020893883104484528,883850.9655051441,857355.1908861519,MARKOV_H1,26495.774618992233,0.37147383165115566,"[0.38059533434835935, 0.3789805075195022, 0.38675863151086837, 0.4042295512883445, 0.4251275003380434, 0.4393872028502727, 0.3781349319599932, 0.37126489282011077, 0.5200080142657602]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE,24,2143019,839935.1600137027,840029.7866887426,LFU_DECAY,-94.62667503987905,-4.41557797853771e-05,781780.0252791289,740379.1722692512,MARKOV_H1,41400.85300987773,0.3919401367947287,"[0.39776028714646283, 0.3932571575846742, 0.39671252597143225, 0.4096911877876851, 0.4270771074000739, 0.44032476529695247, 0.3954042752548426, 0.39198429257451406, 0.49766429442214327]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE,32,1647682,652719.7338166444,652333.5912730056,LFU_DECAY,386.14254363882355,0.00023435501731452037,605884.236670227,570453.6855939549,MARKOV_H1,35430.55107627215,0.39614424010011906,"[0.4044336912768555, 0.3978206415956192, 0.39868636202801955, 0.4083220844237396, 0.42277796055167766, 0.4348752430570378, 0.3977093682972789, 0.39590988508280456, 0.4869388759930957]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE']"
RACE_ONLINE_EXTENDED,8,0,0.0,0.0,MARKOV_H1,0.0,0.0,0.0,0.0,MARKOV_H1,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_ONLINE_EXTENDED,12,2668954,886587.6515861372,881937.6532114409,STAGE1_HYBRID,4649.998374696355,0.0017422549713094926,811176.7602160783,804523.3975824483,STAGE1_HYBRID,6653.362633629935,0.33218543728596944,"[0.3694027972791321, 0.36886081127534026, 0.3779771683975691, 0.3962918509726303, 0.41797925513402984, 0.43260626749519127, 0.35429842917596616, 0.34553397733595737, 0.5362915768091351, 0.3304431823146599]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_ONLINE_EXTENDED,16,2525261,895174.8588154747,890407.8915951768,STAGE1_HYBRID,4766.967220297898,0.0018877126840742,818616.477047994,810764.4881716523,STAGE1_HYBRID,7851.988876341726,0.3544880544290173,"[0.38993903842365607, 0.3884954309218566, 0.3953291032888599, 0.41130251203601526, 0.43064329075531793, 0.4445950639728337, 0.378454256677592, 0.3725435533888927, 0.5204352318469171, 0.3526003417449431]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_ONLINE_EXTENDED,24,2119907,790946.6357840839,786542.9297649672,STAGE1_HYBRID,4403.706019116682,0.002077310947657931,714156.5350116515,704938.2070120376,STAGE1_HYBRID,9218.32799961383,0.37310440306300413,"[0.4090116280997757, 0.4046134576779907, 0.40723990143017197, 0.4188352286392634, 0.43451002591727655, 0.4469260306018212, 0.3952767393053979, 0.3926159082363516, 0.497633152156819, 0.3710270921153462]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
RACE_ONLINE_EXTENDED,32,1625085,614922.0938064574,610911.6416285849,STAGE1_HYBRID,4010.4521778724156,0.0024678414839054055,551105.4064412876,541531.4781399887,STAGE1_HYBRID,9573.928301298874,0.37839380328195593,"[0.4153918291488153, 0.40844292640401114, 0.4081258010699031, 0.4160102194526706, 0.42840729287322576, 0.43946809115909996, 0.3968423964279915, 0.395777197882204, 0.4867433116072844, 0.37592596179805055]","['MARKOV_H1', 'MARKOV_H2', 'MARKOV_H4', 'MARKOV_H8', 'MARKOV_H16', 'MARKOV_H32', 'GATE_EWMA', 'LFU_DECAY', 'PERSISTENCE', 'STAGE1_HYBRID']"
