capacity,improvement_vs_stage1,improvement_ci_low,improvement_ci_high,original_oracle_gap_closed,original_oracle_gap_closed_ci_low,original_oracle_gap_closed_ci_high,stage1_original_oracle_gap_closed,stage1_residual_recovered,stage1_residual_recovered_ci_low,stage1_residual_recovered_ci_high,residual_headroom
12,-0.010599306810976584,-0.011509457279162465,-0.009587696512395433,0.03170204417025042,0.02898852912721051,0.034419549223958755,0.09037745910041063,-0.0645052340854834,-0.07018422333649113,-0.058250514721459534,0.1721064897758551
16,-0.0157340315271208,-0.017149029593776254,-0.014339395008809864,0.04957359675733313,0.045031103767483226,0.053801001510948666,0.10688601076077416,-0.06417144361635294,-0.07035115711685139,-0.05836101876308945,0.2534833705520415
24,-0.01976261636848074,-0.022344638440189815,-0.017436103731836607,0.06052227679136119,0.0530164093907271,0.06764281180967789,0.11052840212464406,-0.05622003608966316,-0.06395195961043997,-0.04956879379346276,0.3557458459873223
32,-0.013789731051344744,-0.017534310945244904,-0.010410758809061779,0.06377379131027594,0.054242423056268405,0.07210982969076853,0.09255523230465561,-0.03171701685765015,-0.0405213267844274,-0.023760321019873836,0.42951672821894793
