variant,capacity,spare_residency,mean_weight_GATE_EWMA,mean_weight_LFU_DECAY,mean_weight_MARKOV_H1,mean_weight_MARKOV_H16,mean_weight_MARKOV_H2,mean_weight_MARKOV_H32,mean_weight_MARKOV_H4,mean_weight_MARKOV_H8,mean_weight_PERSISTENCE,markov_H1,markov_H2,markov_H4,markov_H8,markov_H16,markov_H32,markov_mass,weighted_mean_markov_horizon
RACE_COST,8,0,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.6666666666666667,10.500000000000002
RACE_COST,12,4,0.04454915633488109,0.581656988085723,0.19112066009814832,0.0018734992365921036,0.14184488710196885,0.0014969291667429573,0.030304534496519393,0.006390460411910508,0.0007628850675142801,0.19112066009814832,0.14184488710196885,0.030304534496519393,0.006390460411910508,0.0018734992365921036,0.0014969291667429573,0.3730309705118821,1.9436187180645947
RACE_COST,16,8,0.05630292680031862,0.4462377339226201,0.27253224918799956,0.0017555752020336803,0.1784235363582652,0.0014198108775269735,0.03859041718385301,0.003805869216331452,0.0009318812510513,0.27253224918799956,0.1784235363582652,0.03859041718385301,0.003805869216331452,0.0017555752020336803,0.0014198108775269735,0.4965274580260099,1.787838882492364
RACE_COST,24,16,0.10683364212205071,0.3006858043548901,0.33779951053576573,0.0019737363578165813,0.2034720657844579,0.0015656400569255449,0.04106590096627032,0.005292951098328188,0.0013107487234947268,0.33779951053576573,0.2034720657844579,0.04106590096627032,0.005292951098328188,0.0019737363578165813,0.0015656400569255449,0.5911698047995643,1.747435525150544
RACE_COST,32,24,0.13123458161707224,0.26478412533262174,0.3199564185093208,0.0027166497284243788,0.23181318701313686,0.0020781990828680217,0.038526137693589896,0.00713012948472556,0.001760571538240472,0.3199564185093208,0.23181318701313686,0.038526137693589896,0.00713012948472556,0.0027166497284243788,0.0020781990828680217,0.6022207215120655,1.834372524945063
RACE_COST_EXTENDED,8,0,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6000000000000001,10.500000000000002
RACE_COST_EXTENDED,12,4,0.010691984289295926,0.05743580051032032,0.017941387037468528,0.0015242485718670433,0.02084958177714132,0.0012485581146363053,0.012354191328299211,0.0038587143608064074,0.00066061751529697,0.017941387037468528,0.02084958177714132,0.012354191328299211,0.0038587143608064074,0.0015242485718670433,0.0012485581146363053,0.057776681190218816,3.5354898101037864
RACE_COST_EXTENDED,16,8,0.014932967382811208,0.04587124007423562,0.020311954876217255,0.001395959744559487,0.02425154965900559,0.0011640434105331778,0.012031381505303704,0.0024029915041012383,0.0007941964286929809,0.020311954876217255,0.02425154965900559,0.012031381505303704,0.0024029915041012383,0.001395959744559487,0.0011640434105331778,0.06155788069972045,3.179921970561855
RACE_COST_EXTENDED,24,16,0.02901799393400293,0.03341885011484179,0.021161505717488236,0.0015563382376978367,0.025020801007788945,0.0012925781120279637,0.00989857919043666,0.002536817674553024,0.0011109369981454637,0.021161505717488236,0.025020801007788945,0.00989857919043666,0.002536817674553024,0.0015563382376978367,0.0012925781120279637,0.06146661993999267,3.210781355343235
RACE_COST_EXTENDED,32,24,0.0394184491864733,0.03011930150615739,0.025832327506346186,0.002129078594905075,0.029875790473422554,0.0017232532643180957,0.011134244456198861,0.0034177395067904875,0.0014965785538116941,0.025832327506346186,0.029875790473422554,0.011134244456198861,0.0034177395067904875,0.002129078594905075,0.0017232532643180957,0.07411243380198126,3.328350610749698
RACE_ONLINE,8,0,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.6666666666666667,10.500000000000002
RACE_ONLINE,12,4,0.07315863038736316,0.7071945205948905,0.050161958394897156,0.002657776409249594,0.10622531478231664,0.0018784185109110645,0.043047985949016855,0.014865642226288622,0.0008097527450684003,0.050161958394897156,0.10622531478231664,0.043047985949016855,0.014865642226288622,0.002657776409249594,0.0018784185109110645,0.21883709627267994,2.9993245918653515
RACE_ONLINE,16,8,0.1456927803185807,0.5322342346281622,0.0665670710935092,0.002982209069103023,0.1578384341183661,0.002022296220722406,0.06870982314305986,0.022976033186168296,0.0009771182223284737,0.0665670710935092,0.1578384341183661,0.06870982314305986,0.022976033186168296,0.002982209069103023,0.002022296220722406,0.3210958668309289,2.9689585573599353
RACE_ONLINE,24,16,0.1974146711074282,0.386478339939171,0.057661192224274085,0.004523239662025659,0.18228962158531115,0.002655978434801508,0.12975745739269695,0.03782247070894624,0.0013970289453451453,0.057661192224274085,0.18228962158531115,0.12975745739269695,0.03782247070894624,0.004523239662025659,0.002655978434801508,0.4147099600080556,3.378778689366648
RACE_ONLINE,32,24,0.2209537707276473,0.3598436440944253,0.04148725167092019,0.007393015942174222,0.1629986852865403,0.004157240926194417,0.14893942817181371,0.05220635682427462,0.0020206063560098977,0.04148725167092019,0.1629986852865403,0.14893942817181371,0.05220635682427462,0.007393015942174222,0.004157240926194417,0.4171819788219175,3.9124728226460723
RACE_ONLINE_EXTENDED,8,0,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6000000000000001,10.500000000000002
RACE_ONLINE_EXTENDED,12,4,0.018197391949878752,0.08748559492892857,0.007590013924603407,0.0021131885562616377,0.010960594109206726,0.0015442826486046486,0.011795832105325602,0.007882479584098996,0.000704027500169189,0.007590013924603407,0.010960594109206726,0.011795832105325602,0.007882479584098996,0.0021131885562616377,0.0015442826486046486,0.041886390928101015,5.323505414333758
RACE_ONLINE_EXTENDED,16,8,0.034640816614245715,0.056275954495301005,0.007747047083954628,0.002217742638182352,0.010503533108435367,0.001586393582538303,0.01674266911869914,0.009692958140379057,0.0008358300960650263,0.007747047083954628,0.010503533108435367,0.01674266911869914,0.009692958140379057,0.002217742638182352,0.001586393582538303,0.048490343672188845,5.351930139023557
RACE_ONLINE_EXTENDED,24,16,0.056365872667454554,0.05411817679347323,0.007763710037559972,0.0029329450454619235,0.010559811939926363,0.002055812722240309,0.01888832311139716,0.011421039248052423,0.0011859593416391147,0.007763710037559972,0.010559811939926363,0.01888832311139716,0.011421039248052423,0.0029329450454619235,0.002055812722240309,0.05362164210463815,5.753610968952689
RACE_ONLINE_EXTENDED,32,24,0.07641508546084173,0.0727944281887665,0.00888116926050658,0.004505674737433548,0.012729821142290963,0.0030791671850986676,0.017580399526816438,0.012044790338514567,0.001709939602578443,0.00888116926050658,0.012729821142290963,0.017580399526816438,0.012044790338514567,0.004505674737433548,0.0030791671850986676,0.05882102219066076,6.318232227891688
RACE_ONLINE_GLOBAL,8,0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.6666666666666667,10.5
RACE_ONLINE_GLOBAL,12,4,0.002291715260317538,0.8555822091447591,0.01602709117833879,0.0004980708155363837,0.09534133953482715,0.0004129588833226269,0.02885154744410645,0.0006831568625545966,0.0003119108762381037,0.01602709117833879,0.09534133953482715,0.02885154744410645,0.0006831568625545966,0.0004980708155363837,0.0004129588833226269,0.141814164718686,2.4593102736359254
RACE_ONLINE_GLOBAL,16,8,0.00357262051622973,0.7514500199446243,0.004969994183178705,0.000454623311151257,0.14015376886944317,0.00037301238727869147,0.09794554140769755,0.0007623020910045688,0.000318117289408855,0.004969994183178705,0.14015376886944317,0.09794554140769755,0.0007623020910045688,0.000454623311151257,0.00037301238727869147,0.24465924224975394,2.870802987835774
RACE_ONLINE_GLOBAL,24,16,0.007631543073916232,0.5956736891933778,0.002419538515921758,0.0005267285509819808,0.2390714241495735,0.0004137201683712305,0.15221131569490048,0.0017264475907851691,0.0003255930622086577,0.002419538515921758,0.2390714241495735,0.15221131569490048,0.0017264475907851691,0.0005267285509819808,0.0004137201683712305,0.3963691746705341,2.837975312937892
RACE_ONLINE_GLOBAL,32,24,0.030402780561807053,0.5501673436199315,0.0028589657892633324,0.0006618972488643224,0.18274554610487578,0.0005013969657763979,0.2295424218151778,0.0027704418577043062,0.00034920603661560396,0.0028589657892633324,0.18274554610487578,0.2295424218151778,0.0027704418577043062,0.0006618972488643224,0.0005013969657763979,0.419080669781662,3.1863038199870344
