diagnostic,spearman_with_headroom,p_value_descriptive,conditions
normalized_frequency_entropy_mean,0.15087577550431444,0.29562071332117096,50
top_10_traffic_share_mean,-0.14018570445408926,0.331549968342167,50
gini_mean,-0.15087577550431444,0.29562071332117096,50
consecutive_jaccard_mean,0.005813251453186731,0.968040094036338,50
reuse_within_10_events,-0.03875500968791155,0.7893086920781123,50
activity_lag1_autocorrelation_mean,0.0004844376210988943,0.9973359892395782,50
adjacent_segment_js_mean,0.10705432413019794,0.6105170689590178,25
pairwise_domain_js_mean,0.06775792871090268,0.7220165278134577,30
