workload,regime,capacity,best_simple_policy,best_simple_cost,oracle_cost,absolute_gap,headroom,headroom_ci_low,headroom_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,mean_sequence_absolute_gap,median_sequence_absolute_gap,paired_standardized_effect,sequences,normalized_frequency_entropy_mean,top_10_traffic_share_mean,gini_mean,consecutive_jaccard_mean,reuse_within_10_events,activity_lag1_autocorrelation_mean,adjacent_segment_js_mean,pairwise_domain_js_mean
coding_to_general,abrupt,8,lru,36137.0,36137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.31949010980322134,0.8451033884118175,0.3708240145373217,0.361930818042585,0.361930818042585
coding_to_general,abrupt,12,lfu_decay(alpha=0.90),27522.0,22044.0,5478.0,0.19904076738609114,0.19077890376656986,0.20620118097981077,5222.925,5726.275,342.375,322.0,3.572695143763922,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.31949010980322134,0.8451033884118175,0.3708240145373217,0.361930818042585,0.361930818042585
coding_to_general,abrupt,16,lfu_decay(alpha=0.90),22451.0,15733.0,6718.0,0.2992294329873948,0.28558011702335007,0.31118808651897856,6319.925,7101.025,419.875,382.5,2.75949535902997,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.31949010980322134,0.8451033884118175,0.3708240145373217,0.361930818042585,0.361930818042585
coding_to_general,abrupt,24,lfu_decay(alpha=0.90),15462.0,8948.0,6514.0,0.4212909067391023,0.3954570428324514,0.44037850814380103,5982.975,7055.1,407.125,347.5,2.1717287204740288,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.31949010980322134,0.8451033884118175,0.3708240145373217,0.361930818042585,0.361930818042585
coding_to_general,abrupt,32,lfu_decay(alpha=0.90),10453.0,5329.0,5124.0,0.49019420262125707,0.43697461343597427,0.5255376925465725,4425.8,5735.275,320.25,228.0,1.6974885014792218,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.31949010980322134,0.8451033884118175,0.3708240145373217,0.361930818042585,0.361930818042585
general_to_coding,abrupt,8,lru,36089.0,36089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.3199689932811264,0.8446538735778281,0.3716627061783617,0.361930818042585,0.361930818042585
general_to_coding,abrupt,12,lfu_decay(alpha=0.90),27446.0,22032.0,5414.0,0.1972600743277709,0.18573485216854,0.20706302677823477,5129.0,5696.1,338.375,327.5,3.9146061260601237,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.3199689932811264,0.8446538735778281,0.3716627061783617,0.361930818042585,0.361930818042585
general_to_coding,abrupt,16,lfu_decay(alpha=0.90),22377.0,15726.0,6651.0,0.29722482906555836,0.277380203239411,0.3137321800130216,6280.975,7062.224999999999,415.6875,407.0,3.0386954952169902,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.3199689932811264,0.8446538735778281,0.3716627061783617,0.361930818042585,0.361930818042585
general_to_coding,abrupt,24,lfu_decay(alpha=0.90),15342.0,8946.0,6396.0,0.4168947985921001,0.3833084598002011,0.44195677397237504,5901.9,6970.224999999999,399.75,355.5,2.411685519020824,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.3199689932811264,0.8446538735778281,0.3716627061783617,0.361930818042585,0.361930818042585
general_to_coding,abrupt,32,lfu_decay(alpha=0.90),10295.0,5329.0,4966.0,0.48237008256435165,0.4231196983251443,0.521598000918587,4415.775,5508.025,310.375,232.0,1.9833834046526406,16,0.9325485683366043,0.4023590087890625,0.39971208572387695,0.3199689932811264,0.8446538735778281,0.3716627061783617,0.361930818042585,0.361930818042585
general_to_math,abrupt,8,lru,38866.0,38866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9505720936677872,0.34722900390625,0.34097814559936523,0.2857618327530265,0.8244694867701083,0.3231409001956947,0.15374376881548596,0.15374376881548596
general_to_math,abrupt,12,lfu_decay(alpha=0.90),31723.0,25468.0,6255.0,0.1971755508621505,0.1858590899352463,0.20760488378509062,5908.9,6606.075,390.9375,383.0,7.489193217491754,16,0.9505720936677872,0.34722900390625,0.34097814559936523,0.2857618327530265,0.8244694867701083,0.3231409001956947,0.15374376881548596,0.15374376881548596
general_to_math,abrupt,16,lfu_decay(alpha=0.90),27010.0,18954.0,8056.0,0.2982599037393558,0.2823864043578927,0.3168606330065436,7552.0,8555.05,503.5,483.5,6.525291577717314,16,0.9505720936677872,0.34722900390625,0.34097814559936523,0.2857618327530265,0.8244694867701083,0.3231409001956947,0.15374376881548596,0.15374376881548596
general_to_math,abrupt,24,lfu_decay(alpha=0.90),19489.0,11318.0,8171.0,0.4192621478782903,0.3913065357095151,0.44197515119600184,7569.95,8763.2,510.6875,516.5,5.763574781767823,16,0.9505720936677872,0.34722900390625,0.34097814559936523,0.2857618327530265,0.8244694867701083,0.3231409001956947,0.15374376881548596,0.15374376881548596
