metric,domain_a,domain_b,layer,layer_ordinal,spearman,kendall_tau,bootstrap_mean_spearman,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates
routing_frequency,general,math,0,0,0.14567641204394743,0.09727048344248033,0.15430455195556875,0.07633589752895498,0.2287649187313371,100
routing_frequency,general,math,1,1,0.4479956042949701,0.34143920595533495,0.45236909611299503,0.40950691167353925,0.5197512288965782,100
routing_frequency,general,math,2,2,0.11618988748085476,0.08488458936068526,0.11892214721955764,0.03271423866073237,0.2196060409610088,100
routing_frequency,general,math,3,3,0.18965635665127462,0.13498760967527884,0.1891975518163375,0.1113687939840183,0.27131922844291884,100
routing_frequency,general,math,4,4,0.07427250057586889,0.05413463323480193,0.0912907662224444,-0.013330428873269065,0.20256292658036912,100
routing_frequency,general,math,5,5,-0.03528051558778269,-0.03425167640869756,-0.04405601948025602,-0.14465538754825416,0.05698563288445779,100
routing_frequency,general,math,6,6,0.10684646116154645,0.07491937715031066,0.11311660317318564,0.012223783883252504,0.21062695985521335,100
routing_frequency,general,math,7,7,-0.0359669406350878,-0.018858560794044663,-0.0141487360072421,-0.10754186747347744,0.08600195585676113,100
routing_frequency,general,math,8,8,0.1801282051282051,0.12103174603174602,0.1934494399415038,0.0779475732600733,0.2909662754051429,100
routing_frequency,general,math,9,9,0.06441310469562032,0.04367245657568238,0.07528218536105748,-0.03002314060062085,0.15427546103873666,100
routing_frequency,general,math,10,10,0.03582998502519204,0.02432366025494159,0.04419348269612154,-0.03751862453556789,0.13232395226602553,100
routing_frequency,general,math,11,11,0.18212204811229954,0.13346564538697728,0.18813161575200404,0.0807595839851974,0.28269210958937235,100
routing_frequency,general,math,12,12,0.1663461538461538,0.1220238095238095,0.15169177210850346,0.05094296111774094,0.24134470030924426,100
routing_frequency,general,math,13,13,0.15700549450549448,0.11011904761904762,0.14960672740082778,0.04624362051039148,0.23807450316251136,100
routing_frequency,general,math,14,14,0.17807184235075013,0.11811415846586898,0.1696197309641986,0.08312156593406592,0.25148237179487176,100
routing_frequency,general,math,15,15,0.2885630230164913,0.21990569056598577,0.2826892126029547,0.2073884774457925,0.3608285814825641,100
routing_frequency,general,math,average,average,0.1413668514166124,0.10169886725251306,0.14472875798998514,0.07529802198241492,0.22043503535149964,100
routing_frequency,general,coding,0,0,-0.19320497269194908,-0.13200994181479475,-0.1852883660081348,-0.24732460641850568,-0.11438411957723442,100
