intervention_id,pair_id,role,target_domain,layer,expert_id,domain,is_target_domain,actual_delta_nll_4bit,weight_risk_functional,weight_risk_routing,functional_importance,routing_importance,uod,reod,apd,aod,gqs
specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,general,True,0.0010404562950134277,0.0010654770358783205,0.0006350385551123918,0.07668137589970109,0.045703125,4.126065739629328,0.022591373606668547,0.016325193679836373,0.002495976585443461,0.0017208436291083246
specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,math,False,2.3294687271118164e-05,1.0589660594828942e-05,1.872549585587822e-05,0.0007621278707831914,0.00134765625,1.832839997980245,0.026125557911796705,5.0260680270192705e-05,1.0083206121161319e-05,1.4904984541550198e-05
specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,coding,False,-9.227991104125976e-06,4.78249649720926e-08,2.713839979112786e-07,3.4419175570423848e-06,1.953125e-05,1.0812280027305405,0.05945569999030703,1.0069720472493586e-07,1.8732149937372664e-08,3.433814767250798e-09
specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,reasoning,False,-7.783889770507813e-05,3.590786049425168e-05,3.962206369504667e-05,0.002584254803806199,0.0028515625,2.804114979582501,0.02342211966726,0.0002852506445879083,5.126042255048254e-05,6.693690039961848e-05
control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,general,True,-0.0001187896728515625,0.0004409702879323698,0.00043508859264713897,0.029217834704552192,0.028828125,4.807272210447608,0.03141335252528247,0.004208884980878223,0.0006435009941763819,0.0011265170523310818
control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,math,False,-0.00016061902046203612,0.0004163581519490364,0.0004109170041667423,0.027587082382760197,0.0272265625,4.3981939941328,0.03185466261721393,0.003005864847824231,0.0006030311302996759,0.0007956966987347595
control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,coding,False,0.0002325129508972168,1.0364802628170294e-05,1.3264896117290822e-05,0.0006867516887705435,0.00087890625,4.0039861125796055,0.03065959954142654,4.9457403438326824e-05,9.200290109845038e-06,4.659422452611611e-05
control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,reasoning,False,0.00021085262298583984,0.0003797244348918552,0.0003837976609936144,0.025159803450638105,0.0254296875,4.293010464227361,0.03156656043731853,0.0032193283803195736,0.0005785232609810455,0.000894432264474162
specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,general,True,0.0002569746971130371,0.0010872346058628495,0.0007448818311806569,0.0779692318549982,0.05341796875,1.8994456561956201,0.021775892356933575,0.009153776671389677,0.002339491059215152,0.001908436158263521
specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,math,False,0.0002734112739562988,5.0425787104631377e-05,7.898198575590146e-05,0.003616201935654489,0.0056640625,0.9759031589860424,0.026369993460661087,0.0002185977279219018,5.834903769399889e-05,0.00016767031167336246
specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,coding,False,-8.928537368774414e-05,1.3025284714172094e-05,4.221450962815423e-05,0.0009340867540273625,0.00302734375,0.47451547860980553,0.035856697935063006,2.7152655588116665e-05,9.612364902056082e-06,1.7514137235317682e-05
specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,reasoning,False,0.00015137314796447753,7.617696062605521e-05,9.804660300732596e-05,0.005462904761340173,0.00703125,1.2370503129807935,0.025267536994033602,0.0004388644700187638,0.00010984981280334473,0.00021426062253063156
control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,general,True,-0.0001363348960876465,0.00044189919964395403,0.0003912585102997792,0.03132404226999431,0.027734375,2.036649490754574,0.0234945663000161,0.0031577599288022144,0.0008070495256532316,0.0009028440559840552
control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,math,False,-0.000721442699432373,0.0014356114435087781,0.0012357707173904998,0.10176337403640683,0.08759765625,2.0299813650079535,0.0270564022556879,0.009121375031774402,0.002434716319376622,0.0020215078644304483
control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,coding,False,9.135484695434571e-05,0.0004909797476982621,0.0007031631818908709,0.03480311886286061,0.04984375,1.2839004598160029,0.030581149637335246,0.0014749160741473325,0.0005221379344868538,0.0008410631973207963
control_general_L12_E40_L12_E2,general_L12_E40,control,general,12,2,reasoning,False,2.180218696594238e-05,0.0002750204734626048,0.00034221342943121537,0.019494837154712067,0.0242578125,1.5929752307466476,0.027502601536815538,0.0014849853618447435,0.00037169872513803117,0.0005280111837945114
specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,general,False,6.785392761230469e-05,0.000194286547208122,0.00021771743305720655,0.013908569191521416,0.0155859375,0.2361245478314468,0.03129104698233256,7.173532773153052e-05,0.0002886750303227334,0.0004029074648325484
specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,math,True,-0.0005533015727996827,0.0016111039058230054,0.0011540660925212828,0.11533557248750632,0.0826171875,0.31654887242286295,0.029983041873768206,0.0009021106106329629,0.0034645474751898164,0.002162085359751727
specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,coding,False,-9.258389472961426e-05,0.00013612141508740426,0.0002218098660094097,0.009744648548223432,0.01587890625,0.20649089308899876,0.03625276869399824,3.9035987427113004e-05,0.000147886479893961,0.00033473570245725427
specialist_math_L8_E11,math_L8_E11,specialist,math,8,11,reasoning,False,-0.00011035799980163574,0.00040572037262833665,0.0004722667626842412,0.029044676310327526,0.03380859375,0.23177732135629864,0.03180894020375544,0.00016501947572447183,0.0005363970855336567,0.0007013020804722735
control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,general,False,0.0006674885749816895,0.00010459073545198451,0.00016026091308163045,0.007354809971887816,0.01126953125,0.15951761599391165,0.03348211949493763,2.977306602314939e-05,0.000119811827851393,0.0004218411666698256
control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,math,True,-0.00029477477073669434,0.00067774184031424,0.0008993498033939679,0.047658737879294574,0.0632421875,0.21106552634985895,0.03355975842721906,0.00021750083799840656,0.0008353099611702034,0.0009620574566659232
control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,coding,False,0.0009657454490661621,0.0023937634915102567,0.0016964881405590968,0.16832920737786608,0.119296875,0.28134272569274543,0.030316454083405695,0.0012861574847570073,0.0048725628720198534,0.002924427855288698
control_math_L8_E11_L8_E54,math_L8_E11,control,math,8,54,reasoning,False,7.148981094360352e-05,0.00022024650483132386,0.00037718253026837814,0.015487712013943233,0.0265234375,0.18769692434085938,0.03635232266031435,5.970830246643446e-05,0.000194082300192449,0.00035132538202578935
specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,general,False,0.00015656232833862304,9.547172749721563e-05,0.00012152454922082146,0.00681277068870678,0.008671875,1.7581661621486444,0.02559071177807244,0.00043323345234060425,0.00011072432993385299,0.00027406192995689223
specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,math,True,-0.00027518510818481446,0.0009579649065268067,0.0008419133184757811,0.06835945475256952,0.060078125,2.0731462282367628,0.02385887724978124,0.006451261311044161,0.001721998178985819,0.0011770860967928844
specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,coding,False,3.724098205566406e-06,7.272758250289732e-08,2.7370393968653483e-07,5.189770367889208e-06,1.953125e-05,1.0081801614242636,0.03666385174113739,7.690161063433694e-08,2.7224090129018396e-08,1.8555458017321946e-07
specialist_math_L12_E63,math_L12_E63,specialist,math,12,63,reasoning,False,-0.00019885778427124025,4.735067257073318e-05,6.2951906127903e-05,0.003378898472218922,0.0044921875,1.9977916076620876,0.02763565956332571,0.0002163336450840158,5.414931496853302e-05,0.0001358702736246436
control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,general,False,0.00015418529510498048,0.00018455512411032118,0.00018294031638930918,0.013181742957155781,0.01306640625,1.7043767782633559,0.02330794117968544,0.0010419677896078483,0.0002663025781912222,0.0003939116871085452
control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,math,True,-0.0004088473320007324,0.0007880823842510036,0.00089747401851975,0.05628832831566035,0.0641015625,1.6873553497873972,0.027539994383495754,0.003897264245010732,0.00104027439121805,0.0009106589259099745
control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,coding,False,-0.0013954412937164306,0.0020900009623359447,0.0014282470440977006,0.14927710947354794,0.10201171875,2.0486293018622734,0.023742245999191832,0.012943452939078401,0.004582137181361477,0.0035036738783292905
control_math_L12_E63_L12_E43,math_L12_E63,control,math,12,43,reasoning,False,-0.00011674642562866211,0.0012041038310674403,0.0010620929579313555,0.08600241944715464,0.075859375,2.005792273002848,0.026397095502268677,0.008025958978930436,0.002008934766045511,0.0014556804860776256
specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,general,False,-0.0006751632690429688,3.94759543669871e-05,6.500152045524315e-05,0.0027755881159287235,0.0045703125,2.0458855504978826,0.03466334893938438,0.0002743184128123439,4.194083995348266e-05,0.0001810615258383365
specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,math,False,-0.00031486988067626955,5.385103280122083e-05,0.00011166927873080233,0.0037863121758635316,0.0078515625,1.763533985301094,0.04145523991771625,0.0002431973936389578,4.878981810449372e-05,0.0001305804651500841
specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,coding,True,0.0002993476390838623,0.002876902913187184,0.0015772591160037206,0.20227750448513132,0.1108984375,3.0468172049729505,0.027274634749996293,0.03784566329495743,0.007040221635317248,0.0027566907327850687
specialist_coding_L13_E2,coding_L13_E2,specialist,coding,13,2,reasoning,False,-5.7543516159057615e-05,8.35931327572367e-05,0.0001755596620842465,0.005877504662642729,0.01234375,1.8289121562647772,0.04357072308386981,0.0004350528444365048,7.81803409062302e-05,0.00016792577667031137
control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,general,False,0.00032362699508666995,8.238019101404915e-05,0.00010631163948079765,0.005947912464197026,0.00767578125,1.516650582994511,0.025120711638656982,0.0008691650670424509,0.00013288759072444263,0.0002747977973618723
control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,math,False,-0.0003370475769042969,0.00012357917505840908,0.0001230834502894731,0.008922510455453348,0.00888671875,1.5742328177431988,0.025095940578894936,0.0012096680325422407,0.00024268139716240107,0.0003119956216890698
control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,coding,True,0.0006105613708496094,0.0005948841511521784,0.0007514853294596842,0.04295108828757004,0.0542578125,1.441904340201455,0.03501425577773707,0.005483217274388971,0.0010200129030752646,0.0014848172090566596
control_coding_L13_E2_L13_E61,coding_L13_E2,control,coding,13,61,reasoning,False,-3.824114799499512e-05,9.738600297663625e-05,0.00011118087487686472,0.00703134350397754,0.00802734375,1.5082622935706722,0.026644216259422104,0.0009360917901697324,0.00016821858818043904,0.00031062613133705017
specialist_coding_L11_E27,coding_L11_E27,specialist,coding,11,27,general,False,-0.00011201024055480957,5.842545264880312e-05,0.0001032497908204432,0.004144519735752082,0.00732421875,0.5680268507927152,0.03451100573901808,0.00011043665444306845,5.6621274550785764e-05,0.0003106173392923999
specialist_coding_L11_E27,coding_L11_E27,specialist,coding,11,27,math,False,-0.0003582596778869629,0.00012666640963111952,0.00027423144441909717,0.008985320793809662,0.019453125,0.6606097245354392,0.03429307186176896,0.00018583687769242732,0.00010385069396824981,0.00030483500183976547
specialist_coding_L11_E27,coding_L11_E27,specialist,coding,11,27,coding,True,0.00193342924118042,0.0026826603469434656,0.001697426561088086,0.1902995740411176,0.12041015625,1.1510329141141804,0.026243027947052744,0.01218452282666176,0.005693443331665318,0.0031888931888261075
specialist_coding_L11_E27,coding_L11_E27,specialist,coding,11,27,reasoning,False,-0.0002146613597869873,6.59059527584327e-05,0.00012362441620901066,0.004675163127152328,0.00876953125,0.6176729105736001,0.03144516385311137,0.00011813477271345514,6.439330210701623e-05,0.00031305795111319395
control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,11,7,general,False,-0.0002315974235534668,0.0001363161929906836,0.00024013517855235342,0.009623685597532516,0.016953125,0.5654121975720555,0.03228309204623188,0.0003102357493951863,0.00015905899749099235,0.000687613502939964
control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,11,7,math,False,-0.0005898892879486084,0.0001751173429753992,0.0002680771751350581,0.012362979147940918,0.01892578125,0.7131603260271001,0.030455144531254332,0.0003763663140815966,0.00021032371717058176,0.0004028708192480871
control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,11,7,coding,True,0.0006817221641540527,0.0008294667161282432,0.0010131048661966798,0.05855890422483795,0.0715234375,0.8825044961494255,0.028475787829435745,0.002591148109203069,0.0012107618109934,0.0014756485496201352
control_coding_L11_E27_L11_E7,coding_L11_E27,control,coding,11,7,reasoning,False,0.00010952234268188477,0.0003031820204433948,0.00041166030608974876,0.0214041221336875,0.0290625,0.7868620324877489,0.02645157528754908,0.000696139687983826,0.00037945417938676845,0.0003388228706328822
specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,13,20,general,False,0.00018204092979431152,0.00018968684885083714,0.000179501288223751,0.01362208628229936,0.012890625,3.0596579918281566,0.026921618825029584,0.0019124287053767497,0.00029239330102686793,0.0003105608741139309
specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,13,20,math,False,-0.00020458102226257325,0.000145403777697966,0.00027523530860975155,0.01044196167300729,0.019765625,1.8749054731561312,0.03319173616477575,0.0006656462089699721,0.00013354072990520857,0.00023249497518511173
specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,13,20,coding,False,0.00010965228080749512,0.00012613214565596273,0.00022274478038674557,0.00905799733353255,0.01599609375,1.967962881285461,0.033603625087542346,0.000682704013897181,0.0001269996916607686,0.0003837297238478269
specialist_reasoning_L13_E20,reasoning_L13_E20,specialist,reasoning,13,20,reasoning,True,0.0004401469230651855,0.0015437211153651559,0.0012627643654892062,0.11086009576682761,0.09068359375,2.6433830789788724,0.027527546317025357,0.017177501990428133,0.003086850203837984,0.0017660784063604001
control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,13,63,general,False,0.0003791368007659912,0.000487187792659019,0.0004135015838045679,0.03472469974630584,0.02947265625,3.6964625531968274,0.02472974991608481,0.005621612146542636,0.0008594943842868768,0.0010703519357383746
control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,13,63,math,False,-0.00021714448928833007,0.0006652187667590849,0.0006258698591183785,0.0474139998772185,0.044609375,2.8904457278825637,0.024280604181667605,0.005856965428819591,0.0011750137353060842,0.0007991550009312778
control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,13,63,coding,False,-0.00011412858963012695,5.665875496025366e-06,9.042778174652579e-06,0.0004038398095436973,0.00064453125,2.3854814000788034,0.03098454683176027,2.7392098392442517e-05,5.0956021628218515e-06,2.3400503331978225e-05
control_reasoning_L13_E20_L13_E63,reasoning_L13_E20,control,reasoning,13,63,reasoning,True,0.0003285849094390869,0.0006224132478344363,0.0004858438092017885,0.044363002264920834,0.03462890625,3.804464100395863,0.023895799713248584,0.006880093317460938,0.0012363740357161975,0.0008495653577787243
specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,11,48,general,False,7.121562957763672e-05,0.00020227736855323183,0.00017143881572964244,0.014333708262477901,0.0121484375,1.7047971410792184,0.02279386445741741,0.0005834824630883158,0.00029915358179492417,0.0002773902191714078
specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,11,48,math,False,5.012750625610351e-06,5.2948676545785996e-05,9.398816103506122e-05,0.003752030629624664,0.00666015625,0.9559091988855463,0.030017691355370777,8.540610863493802e-05,4.7727252852071934e-05,0.00014633270922504165
specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,11,48,coding,False,1.638650894165039e-05,2.2801996671248437e-07,1.1025004226986653e-06,1.6157871264854626e-05,7.8125e-05,0.3298482470849553,0.042000829335303004,1.740514143155531e-07,8.132873796530103e-08,4.5546884853233965e-09
specialist_reasoning_L11_E48,reasoning_L11_E48,specialist,reasoning,11,48,reasoning,True,0.0004028964042663574,0.001546665531602506,0.0012441717270154436,0.10959927286075233,0.0881640625,1.435180978394319,0.024277675572879055,0.004732975980928558,0.0025798665812345675,0.0017649507466188355
control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,11,47,general,False,0.0006170380115509033,0.00019310215931323254,0.00023514813503380463,0.012943423619648597,0.01576171875,1.0957018871894195,0.030415265005562863,0.0005385791162429701,0.00027613147248890417,0.0005269057304425914
control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,11,47,math,False,-0.00039735317230224607,0.0008025649998088877,0.0010717160355072286,0.05379504202218304,0.0718359375,0.977039115818256,0.034914647344936364,0.0018494359526039317,0.0010335150348663867,0.0009947812835383466
control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,11,47,coding,False,-0.0008269727230072021,0.0025587381895591337,0.001649242186234615,0.17150938361861742,0.110546875,1.8804556398111798,0.02829378358361664,0.01088188993514888,0.005084764054249263,0.002757432100722093
control_reasoning_L11_E48_L11_E47,reasoning_L11_E48,control,reasoning,11,47,reasoning,True,0.00023743152618408203,0.0005142428369689635,0.0006914578989283995,0.03446912714975047,0.04634765625,1.0776725816296202,0.033331607436322484,0.0011997753065856884,0.0006539775885031257,0.0005570541945193929
