surrogate,internal_name,overall_spearman,overall_spearman_ci_low,overall_spearman_ci_high,specificity_spearman,specificity_spearman_ci_low,specificity_spearman_ci_high,top_domain_accuracy,notes
WeightRiskFunctional,weight_risk_functional,0.0923076923076923,-0.24310564189129272,0.3929312719969608,0.4147058823529412,-0.13129348771472057,0.7758841821481955,0.5,Frozen failed Stage-1 negative-control proxy
WeightRiskRouting,weight_risk_routing,0.04189560439560439,-0.2927310814340945,0.3416675305641838,0.3411764705882353,-0.20494641522528295,0.7233428837953091,0.5,Frozen failed Stage-1 negative-control proxy
Functional specialization alone,functional_importance,0.09432234432234432,-0.24800750526953347,0.39950380998717355,0.4147058823529412,-0.13129348771472057,0.7758841821481955,0.5,No weight-distortion multiplier
Routing specialization alone,routing_importance,0.045032566767679846,-0.2909821795596217,0.34650416933932005,0.3411764705882353,-0.20494641522528295,0.7233428837953091,0.5,No weight-distortion multiplier
UOD,uod,0.01529304029304029,-0.2179710439956617,0.25899262141474033,0.26176470588235295,-0.3180621941301525,0.6871718531040771,0.3125,Diagnostic; omits router coefficient
REOD,reod,-0.21108058608058608,-0.43429360287664287,0.03395671323793888,-0.3058823529411765,-0.6957992685025818,0.2955891476353174,0.125,Secondary; conditional on the expert's own routed contribution
APD,apd,0.13278388278388276,-0.18194338821625639,0.4088775558900463,0.5441176470588236,0.06573213090435442,0.8000000000000002,0.5,Secondary absolute perturbation per measured domain token
AOD,aod,0.12248168498168496,-0.21670245092326573,0.4339695363484231,0.4058823529411764,-0.20000000000000004,0.8168305281329233,0.5,PRIMARY fixed activation-aware score
GQS,gqs,0.09752747252747253,-0.2233172167461028,0.4002222970919903,0.4676470588235294,-0.11861408847814897,0.815496693121693,0.5625,Pre-registered gradient fallback; gate-evaluated metric
