regime,base_bits,domain,bf16_nll,base_nll,raw_delta_nll,relative_fragility,clipped_fragility,normalized_fragility,regime_valid
4to8,4,general,2.9197882986068726,2.963314003944397,0.0435257053375242,0.014907144246824933,0.014907144246824933,0.7957003228559227,True
4to8,4,math,2.274909858703613,2.3059512042999266,0.03104134559631344,0.013645088168022075,0.013645088168022075,0.7283354129349899,True
4to8,4,coding,1.8343575859069825,1.9008112001419066,0.06645361423492413,0.036227186425086634,0.036227186425086634,1.9337026232065053,True
4to8,4,reasoning,1.9101181077957152,1.9295231246948241,0.019405016899108896,0.010159066510029775,0.010159066510029775,0.5422616410025818,True
3to8,3,general,2.9197882986068726,3.204725160598755,0.2849368619918824,0.09758819231100939,0.09758819231100939,1.3165262841423968,True
3to8,3,math,2.274909858703613,2.431875705718994,0.15696584701538097,0.06899871061477134,0.06899871061477134,0.9308361385236308,True
3to8,3,coding,1.8343575859069825,1.9411751079559325,0.10681752204895001,0.05823156993467825,0.05823156993467825,0.7855806175972306,True
3to8,3,reasoning,1.9101181077957152,2.0470422458648683,0.13692413806915305,0.07168359773687717,0.07168359773687717,0.9670569597367419,True
