metric,domain_a,domain_b,layer,layer_ordinal,spearman,kendall_tau,bootstrap_mean_spearman,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates
routing_frequency,general,math,0,0,0.10457830927644218,0.06716799574277843,0.08683770379380144,-0.13857557012684496,0.3792270802780531,100
routing_frequency,general,math,1,1,0.3892248553532889,0.2794898158775051,0.3149880667181291,0.09936238521080443,0.4876969788674427,100
routing_frequency,general,math,2,2,0.1959872673736087,0.1365344793095882,0.14100683262654332,-0.1941598962395342,0.44850959105962446,100
routing_frequency,general,math,3,3,0.269514921101501,0.18646637624114606,0.2581913059955066,-0.02036726312727548,0.5433512097888847,100
routing_frequency,general,math,4,4,0.23174726865114026,0.15554448373850518,0.22750742613657748,0.005589405879345068,0.43155967923228217,100
routing_frequency,general,math,5,5,0.23500990372614644,0.17792175982261993,0.183586258215367,-0.06929234438278964,0.4229567611949512,100
routing_frequency,general,math,6,6,0.2234276648544566,0.161266873406476,0.22464888651819603,-0.039487962885142065,0.44547003516288003,100
routing_frequency,general,math,7,7,0.25237337257086345,0.18054514192892887,0.2436609298226223,0.019462753700811082,0.42198327566787763,100
routing_frequency,general,math,8,8,0.3409759846171186,0.238738768640861,0.34191009030176917,0.03289686920821719,0.6454153710220876,100
routing_frequency,general,math,9,9,0.2574409383580915,0.18609341908293892,0.22722840595327923,-0.087444265839544,0.49808785360100516,100
routing_frequency,general,math,10,10,0.12853494296832285,0.09772024088060585,0.11336762478937254,-0.1602301317459197,0.34978761215258264,100
routing_frequency,general,math,11,11,0.11675546184989324,0.10095449806318273,0.17027884977340602,-0.03656576285211509,0.33815966286993393,100
routing_frequency,general,math,12,12,0.18651929983233553,0.12875766046366263,0.16857291808938865,0.005608406662047733,0.2879128893759072,100
routing_frequency,general,math,13,13,0.28380359105899594,0.20479520479520477,0.2502962639745684,0.0007832023816004485,0.4450681896613575,100
routing_frequency,general,math,14,14,0.20461468000327504,0.13632959226465027,0.19077601418619444,-0.07930198084252818,0.44688354065103036,100
routing_frequency,general,math,15,15,0.4132548471966736,0.30157540327740745,0.3786090727109254,0.14031642004695533,0.5558068167922648,100
routing_frequency,general,math,average,average,0.23961020679950962,0.17124385709600382,0.22009166560035293,-0.0047381898894717465,0.38538606625318594,100
routing_frequency,general,coding,0,0,-0.18892911168623333,-0.13447066419254555,-0.13503508905068107,-0.28201649473498275,0.09622299139794943,100
routing_frequency,general,coding,1,1,0.017680671500237412,0.0079960019990005,0.02235528321814245,-0.13016352437109432,0.1927218272725425,100
routing_frequency,general,coding,2,2,-0.017475750530891798,0.005501389276210514,0.006861941766186224,-0.22128312600178784,0.2757093041734751,100
routing_frequency,general,coding,3,3,0.01050352797140441,0.01855102986509243,-0.018842672302445244,-0.29704774628910446,0.3353615882588634,100
routing_frequency,general,coding,4,4,0.008223759641520372,0.0010025082807455497,0.006441528825110485,-0.22670682821501612,0.2520621822020057,100
routing_frequency,general,coding,5,5,0.0372623177716444,0.030553814466747348,0.029161284117086163,-0.24376336552170103,0.38602576963220386,100
routing_frequency,general,coding,6,6,0.12539577909835076,0.09704745718498846,0.1642727164479618,-0.08226509808788925,0.5094755759020123,100
routing_frequency,general,coding,7,7,0.17965845499527375,0.12598015918338892,0.19150750515002637,-0.06263596096933967,0.511281238052054,100
routing_frequency,general,coding,8,8,0.16253494979936106,0.11935844946649467,0.1508369625018401,-0.15130825535685988,0.5715888261010628,100
routing_frequency,general,coding,9,9,0.0773073070104621,0.07437209405132267,0.036888629331235843,-0.2226086518028874,0.374863149400915,100
routing_frequency,general,coding,10,10,-0.132004353632417,-0.08693467336683416,-0.12418246878874296,-0.3735043878183622,0.24975904081882225,100
routing_frequency,general,coding,11,11,-0.16155299786206315,-0.12265341270883091,-0.1226384851215045,-0.35100548820378397,0.1198577057736909,100
routing_frequency,general,coding,12,12,0.05004010878397872,0.04777482688413912,0.010437686215568044,-0.3159217127060375,0.3053673382188749,100
routing_frequency,general,coding,13,13,-0.04026799563614238,-0.02702708118951438,-0.05952001525806648,-0.3013980572349843,0.17980119618403817,100
routing_frequency,general,coding,14,14,-0.19549132046951762,-0.13824265602391142,-0.17945051910127666,-0.40433983973702387,0.1679711524618252,100
routing_frequency,general,coding,15,15,-0.17738592972559014,-0.12107648572809053,-0.14822674247046413,-0.3569892398226717,0.17449854642235094,100
routing_frequency,general,coding,average,average,-0.015281286435663902,-0.0063917026594747985,-0.010570778407501478,-0.22366051595874387,0.2697674793975867,100
