bit_width,intervention_id,pair_id,role,target_domain,layer,expert_id,domain,is_target_domain,examples,evaluated_tokens,baseline_nll,quantized_nll,delta_nll,delta_nll_ci_low,delta_nll_ci_high,normalized_relative_delta_nll,relative_delta_percent,positive_delta_example_fraction,routing_coverage,routing_frequency,functional_importance,functional_rank,quantization_distortion,risk_functional,risk_routing,effective_bits_per_weight,projected_bytes,compression_ratio_vs_bf16,bootstrap_replicates
4,specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,general,True,100,6400,2.991833852529526,2.9928743088245393,0.0010404562950134277,0.0002120723724365235,0.0018761919140815732,0.000347765399517004,0.0347765399517004,0.48,0.365625,0.045703125,0.07668137589970109,1.0,0.013894860693057462,0.0010654770358783205,0.0006350385551123918,4.125,3244032,3.878787878787879,1000
4,specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,math,False,100,6400,2.2662287080287933,2.2662520027160644,2.3294687271118164e-05,-6.39493465423584e-05,0.00011669135093688965,1.0279054002179818e-05,0.0010279054002179818,0.09,0.01078125,0.00134765625,0.0007621278707831914,63.0,0.013894860693057462,1.0589660594828942e-05,1.872549585587822e-05,4.125,3244032,3.878787878787879,1000
4,specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,coding,False,100,6400,1.7902204298973083,1.7902112019062042,-9.227991104125976e-06,-2.768397331237793e-05,0.0,-5.1546675202758785e-06,-0.0005154667520275879,0.0,0.00015625,1.953125e-05,3.4419175570423848e-06,64.0,0.013894860693057462,4.78249649720926e-08,2.713839979112786e-07,4.125,3244032,3.878787878787879,1000
4,specialist_general_L13_E52,general_L13_E52,specialist,general,13,52,reasoning,False,100,6400,1.9561886489391327,1.9561108100414275,-7.783889770507813e-05,-0.00028567984700202944,0.0001333541572093963,-3.9791099773169224e-05,-0.003979109977316922,0.13,0.0228125,0.0028515625,0.002584254803806199,54.0,0.013894860693057462,3.590786049425168e-05,3.962206369504667e-05,4.125,3244032,3.878787878787879,1000
4,control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,general,True,100,6400,2.991833852529526,2.991715062856674,-0.0001187896728515625,-0.0006980166733264923,0.00042105284333229066,-3.970463558700915e-05,-0.003970463558700915,0.56,0.230625,0.028828125,0.029217834704552192,5.0,0.015092504026784224,0.0004409702879323698,0.00043508859264713897,4.125,3244032,3.878787878787879,1000
4,control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,math,False,100,6400,2.2662287080287933,2.266068089008331,-0.00016061902046203612,-0.0006132648587226868,0.0002947089076042175,-7.087502682010653e-05,-0.007087502682010654,0.4,0.2178125,0.0272265625,0.027587082382760197,12.0,0.015092504026784224,0.0004163581519490364,0.0004109170041667423,4.125,3244032,3.878787878787879,1000
4,control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,coding,False,100,6400,1.7902204298973083,1.7904529428482057,0.0002325129508972168,-1.008063554763794e-05,0.0004688812792301177,0.0001298795092571669,0.012987950925716692,0.24,0.00703125,0.00087890625,0.0006867516887705435,50.0,0.015092504026784224,1.0364802628170294e-05,1.3264896117290822e-05,4.125,3244032,3.878787878787879,1000
4,control_general_L13_E52_L13_E36,general_L13_E52,control,general,13,36,reasoning,False,100,6400,1.9561886489391327,1.9563995015621185,0.00021085262298583984,-0.0002847813367843628,0.0006959999203681946,0.00010778746881093909,0.010778746881093908,0.53,0.2034375,0.0254296875,0.025159803450638105,13.0,0.015092504026784224,0.0003797244348918552,0.0003837976609936144,4.125,3244032,3.878787878787879,1000
4,specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,general,True,100,6400,2.991833852529526,2.992090827226639,0.0002569746971130371,-0.00046687504649162295,0.0009727970957756042,8.589203471167724e-05,0.008589203471167725,0.54,0.42734375,0.05341796875,0.0779692318549982,1.0,0.013944405761041914,0.0010872346058628495,0.0007448818311806569,4.125,3244032,3.878787878787879,1000
4,specialist_general_L12_E40,general_L12_E40,specialist,general,12,40,math,False,100,6400,2.2662287080287933,2.2665021193027495,0.0002734112739562988,-0.00010218825936317443,0.0006511273682117461,0.00012064593171362519,0.012064593171362518,0.46,0.0453125,0.0056640625,0.003616201935654489,53.0,0.013944405761041914,5.0425787104631377e-05,7.898198575590146e-05,4.125,3244032,3.878787878787879,1000
