workload,regime,capacity,layer,stage3_misses
stationary_coding,stationary,32,14,5606
stationary_coding,stationary,32,15,3830
stationary_math,stationary,8,0,56518
stationary_math,stationary,8,1,56782
stationary_math,stationary,8,2,51180
stationary_math,stationary,8,3,49997
stationary_math,stationary,8,4,38711
stationary_math,stationary,8,5,40966
stationary_math,stationary,8,6,39327
stationary_math,stationary,8,7,41469
stationary_math,stationary,8,8,40404
stationary_math,stationary,8,9,44632
stationary_math,stationary,8,10,50407
stationary_math,stationary,8,11,43409
stationary_math,stationary,8,12,47293
stationary_math,stationary,8,13,51046
stationary_math,stationary,8,14,53829
stationary_math,stationary,8,15,50105
stationary_math,stationary,12,0,43415
stationary_math,stationary,12,1,45054
stationary_math,stationary,12,2,39383
stationary_math,stationary,12,3,37450
stationary_math,stationary,12,4,27588
stationary_math,stationary,12,5,29828
stationary_math,stationary,12,6,26084
stationary_math,stationary,12,7,29741
stationary_math,stationary,12,8,29951
stationary_math,stationary,12,9,32870
stationary_math,stationary,12,10,38114
stationary_math,stationary,12,11,31722
stationary_math,stationary,12,12,35365
stationary_math,stationary,12,13,37774
stationary_math,stationary,12,14,41578
stationary_math,stationary,12,15,37534
stationary_math,stationary,16,0,36099
stationary_math,stationary,16,1,38124
stationary_math,stationary,16,2,32201
stationary_math,stationary,16,3,29958
stationary_math,stationary,16,4,21336
stationary_math,stationary,16,5,22881
stationary_math,stationary,16,6,19269
stationary_math,stationary,16,7,22929
stationary_math,stationary,16,8,23662
stationary_math,stationary,16,9,26042
stationary_math,stationary,16,10,31239
stationary_math,stationary,16,11,25247
stationary_math,stationary,16,12,28120
stationary_math,stationary,16,13,30256
stationary_math,stationary,16,14,33942
stationary_math,stationary,16,15,30057
stationary_math,stationary,24,0,24979
stationary_math,stationary,24,1,27234
stationary_math,stationary,24,2,21589
stationary_math,stationary,24,3,19132
stationary_math,stationary,24,4,12577
stationary_math,stationary,24,5,13195
stationary_math,stationary,24,6,10368
stationary_math,stationary,24,7,13142
stationary_math,stationary,24,8,14542
stationary_math,stationary,24,9,16544
stationary_math,stationary,24,10,21248
stationary_math,stationary,24,11,16139
stationary_math,stationary,24,12,18405
stationary_math,stationary,24,13,19909
stationary_math,stationary,24,14,22983
stationary_math,stationary,24,15,19390
stationary_math,stationary,32,0,16120
stationary_math,stationary,32,1,18299
stationary_math,stationary,32,2,13594
stationary_math,stationary,32,3,11428
stationary_math,stationary,32,4,6780
stationary_math,stationary,32,5,6695
stationary_math,stationary,32,6,4919
stationary_math,stationary,32,7,6925
stationary_math,stationary,32,8,8205
stationary_math,stationary,32,9,9751
stationary_math,stationary,32,10,13405
stationary_math,stationary,32,11,9318
stationary_math,stationary,32,12,11021
stationary_math,stationary,32,13,12478
stationary_math,stationary,32,14,14569
stationary_math,stationary,32,15,11452
stationary_reasoning,stationary,8,0,58077
stationary_reasoning,stationary,8,1,57876
stationary_reasoning,stationary,8,2,52629
stationary_reasoning,stationary,8,3,52430
stationary_reasoning,stationary,8,4,43031
stationary_reasoning,stationary,8,5,43774
stationary_reasoning,stationary,8,6,45186
stationary_reasoning,stationary,8,7,45516
stationary_reasoning,stationary,8,8,44658
stationary_reasoning,stationary,8,9,47723
stationary_reasoning,stationary,8,10,51237
stationary_reasoning,stationary,8,11,48558
stationary_reasoning,stationary,8,12,49971
stationary_reasoning,stationary,8,13,54054
stationary_reasoning,stationary,8,14,54263
stationary_reasoning,stationary,8,15,53562
stationary_reasoning,stationary,12,0,43597
stationary_reasoning,stationary,12,1,46597
stationary_reasoning,stationary,12,2,42435
stationary_reasoning,stationary,12,3,40759
stationary_reasoning,stationary,12,4,32019
stationary_reasoning,stationary,12,5,32637
stationary_reasoning,stationary,12,6,31954
stationary_reasoning,stationary,12,7,33209
stationary_reasoning,stationary,12,8,33566
stationary_reasoning,stationary,12,9,35924
stationary_reasoning,stationary,12,10,40123
stationary_reasoning,stationary,12,11,35820
stationary_reasoning,stationary,12,12,38667
stationary_reasoning,stationary,12,13,41796
stationary_reasoning,stationary,12,14,42010
stationary_reasoning,stationary,12,15,40997
stationary_reasoning,stationary,16,0,35838
stationary_reasoning,stationary,16,1,39870
stationary_reasoning,stationary,16,2,35631
stationary_reasoning,stationary,16,3,33206
stationary_reasoning,stationary,16,4,25483
stationary_reasoning,stationary,16,5,25472
stationary_reasoning,stationary,16,6,24602
stationary_reasoning,stationary,16,7,26072
stationary_reasoning,stationary,16,8,27015
stationary_reasoning,stationary,16,9,28886
stationary_reasoning,stationary,16,10,33130
stationary_reasoning,stationary,16,11,28315
stationary_reasoning,stationary,16,12,31192
stationary_reasoning,stationary,16,13,34110
stationary_reasoning,stationary,16,14,34515
stationary_reasoning,stationary,16,15,32902
stationary_reasoning,stationary,24,0,24826
stationary_reasoning,stationary,24,1,29165
stationary_reasoning,stationary,24,2,25086
stationary_reasoning,stationary,24,3,22596
stationary_reasoning,stationary,24,4,16903
stationary_reasoning,stationary,24,5,15936
stationary_reasoning,stationary,24,6,14703
stationary_reasoning,stationary,24,7,15708
stationary_reasoning,stationary,24,8,17627
stationary_reasoning,stationary,24,9,19116
stationary_reasoning,stationary,24,10,23121
stationary_reasoning,stationary,24,11,18717
stationary_reasoning,stationary,24,12,21021
stationary_reasoning,stationary,24,13,23422
stationary_reasoning,stationary,24,14,23329
stationary_reasoning,stationary,24,15,22234
stationary_reasoning,stationary,32,0,16613
stationary_reasoning,stationary,32,1,20432
stationary_reasoning,stationary,32,2,17040
stationary_reasoning,stationary,32,3,14448
stationary_reasoning,stationary,32,4,10505
stationary_reasoning,stationary,32,5,9192
stationary_reasoning,stationary,32,6,8048
stationary_reasoning,stationary,32,7,9034
stationary_reasoning,stationary,32,8,10367
stationary_reasoning,stationary,32,9,12047
stationary_reasoning,stationary,32,10,15553
stationary_reasoning,stationary,32,11,12021
stationary_reasoning,stationary,32,12,13657
stationary_reasoning,stationary,32,13,15509
stationary_reasoning,stationary,32,14,15045
stationary_reasoning,stationary,32,15,14385
general_to_coding,abrupt,8,0,110836
general_to_coding,abrupt,8,1,105946
general_to_coding,abrupt,8,2,96833
general_to_coding,abrupt,8,3,100152
general_to_coding,abrupt,8,4,80101
general_to_coding,abrupt,8,5,76828
general_to_coding,abrupt,8,6,79228
general_to_coding,abrupt,8,7,77755
general_to_coding,abrupt,8,8,77746
general_to_coding,abrupt,8,9,82227
general_to_coding,abrupt,8,10,95122
general_to_coding,abrupt,8,11,82296
general_to_coding,abrupt,8,12,88456
general_to_coding,abrupt,8,13,90652
general_to_coding,abrupt,8,14,95915
general_to_coding,abrupt,8,15,93889
general_to_coding,abrupt,12,0,86220
general_to_coding,abrupt,12,1,82636
general_to_coding,abrupt,12,2,70838
general_to_coding,abrupt,12,3,72469
general_to_coding,abrupt,12,4,55631
general_to_coding,abrupt,12,5,51899
general_to_coding,abrupt,12,6,52572
general_to_coding,abrupt,12,7,53943
general_to_coding,abrupt,12,8,55717
general_to_coding,abrupt,12,9,59181
general_to_coding,abrupt,12,10,67782
general_to_coding,abrupt,12,11,58123
general_to_coding,abrupt,12,12,63199
general_to_coding,abrupt,12,13,63777
general_to_coding,abrupt,12,14,67893
general_to_coding,abrupt,12,15,65529
general_to_coding,abrupt,16,0,71741
general_to_coding,abrupt,16,1,69697
general_to_coding,abrupt,16,2,57139
general_to_coding,abrupt,16,3,58093
general_to_coding,abrupt,16,4,42584
general_to_coding,abrupt,16,5,38427
general_to_coding,abrupt,16,6,38705
general_to_coding,abrupt,16,7,40704
general_to_coding,abrupt,16,8,43067
general_to_coding,abrupt,16,9,46213
general_to_coding,abrupt,16,10,53169
general_to_coding,abrupt,16,11,44642
general_to_coding,abrupt,16,12,48213
general_to_coding,abrupt,16,13,48069
general_to_coding,abrupt,16,14,51414
general_to_coding,abrupt,16,15,47906
general_to_coding,abrupt,24,0,49766
general_to_coding,abrupt,24,1,49878
general_to_coding,abrupt,24,2,38348
general_to_coding,abrupt,24,3,38215
general_to_coding,abrupt,24,4,25522
general_to_coding,abrupt,24,5,21515
general_to_coding,abrupt,24,6,21367
general_to_coding,abrupt,24,7,23828
general_to_coding,abrupt,24,8,26022
general_to_coding,abrupt,24,9,29259
general_to_coding,abrupt,24,10,34026
general_to_coding,abrupt,24,11,27141
general_to_coding,abrupt,24,12,29356
general_to_coding,abrupt,24,13,28463
general_to_coding,abrupt,24,14,30674
general_to_coding,abrupt,24,15,26380
general_to_coding,abrupt,32,0,32961
general_to_coding,abrupt,32,1,34968
general_to_coding,abrupt,32,2,24863
general_to_coding,abrupt,32,3,23712
general_to_coding,abrupt,32,4,14483
general_to_coding,abrupt,32,5,11665
general_to_coding,abrupt,32,6,11053
general_to_coding,abrupt,32,7,13061
general_to_coding,abrupt,32,8,15045
general_to_coding,abrupt,32,9,17858
general_to_coding,abrupt,32,10,21531
general_to_coding,abrupt,32,11,16649
general_to_coding,abrupt,32,12,17135
general_to_coding,abrupt,32,13,16738
general_to_coding,abrupt,32,14,17687
general_to_coding,abrupt,32,15,14670
coding_to_general,abrupt,8,0,110837
coding_to_general,abrupt,8,1,105945
coding_to_general,abrupt,8,2,96834
coding_to_general,abrupt,8,3,100152
coding_to_general,abrupt,8,4,80100
coding_to_general,abrupt,8,5,76827
coding_to_general,abrupt,8,6,79228
coding_to_general,abrupt,8,7,77756
coding_to_general,abrupt,8,8,77746
coding_to_general,abrupt,8,9,82230
coding_to_general,abrupt,8,10,95123
coding_to_general,abrupt,8,11,82297
coding_to_general,abrupt,8,12,88456
coding_to_general,abrupt,8,13,90655
coding_to_general,abrupt,8,14,95915
coding_to_general,abrupt,8,15,93891
coding_to_general,abrupt,12,0,86229
coding_to_general,abrupt,12,1,82636
coding_to_general,abrupt,12,2,70841
coding_to_general,abrupt,12,3,72465
coding_to_general,abrupt,12,4,55628
coding_to_general,abrupt,12,5,51901
coding_to_general,abrupt,12,6,52572
coding_to_general,abrupt,12,7,53948
coding_to_general,abrupt,12,8,55719
coding_to_general,abrupt,12,9,59181
coding_to_general,abrupt,12,10,67779
coding_to_general,abrupt,12,11,58121
coding_to_general,abrupt,12,12,63200
coding_to_general,abrupt,12,13,63777
coding_to_general,abrupt,12,14,67892
coding_to_general,abrupt,12,15,65530
coding_to_general,abrupt,16,0,71740
coding_to_general,abrupt,16,1,69704
coding_to_general,abrupt,16,2,57137
coding_to_general,abrupt,16,3,58081
coding_to_general,abrupt,16,4,42580
coding_to_general,abrupt,16,5,38424
coding_to_general,abrupt,16,6,38706
coding_to_general,abrupt,16,7,40708
coding_to_general,abrupt,16,8,43071
coding_to_general,abrupt,16,9,46212
coding_to_general,abrupt,16,10,53167
coding_to_general,abrupt,16,11,44639
coding_to_general,abrupt,16,12,48224
coding_to_general,abrupt,16,13,48072
coding_to_general,abrupt,16,14,51416
coding_to_general,abrupt,16,15,47906
coding_to_general,abrupt,24,0,49757
coding_to_general,abrupt,24,1,49879
coding_to_general,abrupt,24,2,38340
coding_to_general,abrupt,24,3,38221
coding_to_general,abrupt,24,4,25524
coding_to_general,abrupt,24,5,21517
coding_to_general,abrupt,24,6,21382
coding_to_general,abrupt,24,7,23832
coding_to_general,abrupt,24,8,26037
coding_to_general,abrupt,24,9,29261
coding_to_general,abrupt,24,10,34035
coding_to_general,abrupt,24,11,27144
coding_to_general,abrupt,24,12,29355
coding_to_general,abrupt,24,13,28462
coding_to_general,abrupt,24,14,30678
