source,method,method_label,regime,budget_fraction,budget_bytes,used_protection_bytes,protected_expert_count,effective_bits_per_weight,coverage_general,coverage_math,coverage_coding,coverage_reasoning,coverage_min,coverage_mean,predicted_max_residual_risk,allocation_sha256,file
stage2b_frozen,random_seed1001,Random (seed 1001),4to8,0.05,161061273,160432128,51,4.32421875,0.04664031411298249,0.037694465160607385,0.05486056130718528,0.02368869143697186,0.02368869143697186,0.04072100800443675,,4d0bf512393f6fc2faae29e6f0f4d4b6ab96435d40d895dffcc8be5522fcb0b6,random_seed1001_4to8_budget5.json
stage2b_frozen,random_seed1002,Random (seed 1002),4to8,0.05,161061273,160432128,51,4.32421875,0.04353009184717326,0.0778146210451259,0.036781714357524024,0.024613172615005716,0.024613172615005716,0.045684899966207226,,55dd148036a6ad6e0f6d364c6ae5ffa31b593b14b550d253970f56002021bf66,random_seed1002_4to8_budget5.json
stage2b_frozen,random_seed1003,Random (seed 1003),4to8,0.05,161061273,160432128,51,4.32421875,0.06520061741118165,0.03591305309685128,0.07047339700017091,0.059485617940299225,0.03591305309685128,0.05776817136212577,,c58cc6ec3aa0d64b0a2e0a846ca43ff6563960b49d8523bf856ac625076cee19,random_seed1003_4to8_budget5.json
stage2b_frozen,random_seed1004,Random (seed 1004),4to8,0.05,161061273,160432128,51,4.32421875,0.045330195171970226,0.03988541317166572,0.03474092563108321,0.030862850914649357,0.030862850914649357,0.03770484622234213,,2498a8757e27b072692c86231902e04a6f9e5c69d8c248e9f4dbc35f65600b4a,random_seed1004_4to8_budget5.json
stage2b_frozen,random_seed1005,Random (seed 1005),4to8,0.05,161061273,160432128,51,4.32421875,0.02882213493979766,0.019782325591935854,0.04439586836922687,0.06061909895286687,0.019782325591935854,0.038404856963456815,,0eda8d4b2c552750a63dd8c51bbd6d819a7112f21135a96927f7c6025be35b9d,random_seed1005_4to8_budget5.json
stage2b_frozen,robust_functional,Robust-Functional,4to8,0.1,322122547,320864256,102,4.5234375,0.3953422664745733,0.39726739287366347,0.3970673776964887,0.39479812853204405,0.39479812853204405,0.3961187913941924,,0bb18e7ec848c912e3cb0c335218e117cd1bc497c3b8c51d0aba6d467cc22342,robust_functional_4to8_budget10.json
stage2b_frozen,robust_routing,Robust-Routing,4to8,0.1,322122547,320864256,102,4.5234375,0.3396715792171035,0.3636488498439179,0.40928941756743664,0.3723988963245528,0.3396715792171035,0.3712521857382527,,971b41f0d32b91412ae19f5f38dd4db4e1355b20f15e5122adefc974ff59a820,robust_routing_4to8_budget10.json
stage2b_frozen,average_specialization,Average-Specialization,4to8,0.1,322122547,320864256,102,4.5234375,0.23211870990825256,0.4242400759873484,0.6069421252425719,0.4145928362311662,0.23211870990825256,0.4194734368423348,,58f9e1a8d629c7d1a81543d7401e59050265f08ce69baa9326f594e1a77e69d3,average_specialization_4to8_budget10.json
stage2b_frozen,global_importance,Global-Importance,4to8,0.1,322122547,320864256,102,4.5234375,0.001338864169389044,0.2579756009805054,0.6471657114252791,0.27643867905005326,0.001338864169389044,0.2957297139063067,,6f1108a61118ad65cf64d0a09d8a529b57c8fe5c1a6c679097fdf67581404496,global_importance_4to8_budget10.json
stage2b_frozen,general_only,General-Only,4to8,0.1,322122547,320864256,102,4.5234375,0.4747791671633564,0.0910684813607628,0.05425159721886699,0.06973869367045164,0.05425159721886699,0.17245948485335943,,5b652905390b286bd32e58368aa44b81ea3eb623520290202ab332f8ccb4892a,general_only_4to8_budget10.json
stage2b_frozen,math_only,Math-Only,4to8,0.1,322122547,320864256,102,4.5234375,0.0015269455358011541,0.5900064630541889,0.1359758060841597,0.07718695909989037,0.0015269455358011541,0.20117404344351003,,29f257192b524d3cfd3daff5b643c5c469fd32b7303dead52a7c52ef7096664d,math_only_4to8_budget10.json
stage2b_frozen,coding_only,Coding-Only,4to8,0.1,322122547,320864256,102,4.5234375,0.0004435853860928761,0.068332145121167,0.8785800265387698,0.027735323914992175,0.0004435853860928761,0.24377277024025545,,1e5c04c715903af7e5da011ddf8a3565b769e48d67432d27492b36fc49bbf6af,coding_only_4to8_budget10.json
stage2b_frozen,reasoning_only,Reasoning-Only,4to8,0.1,322122547,320864256,102,4.5234375,0.0015269455358011541,0.044188525077634745,0.10293794042078974,0.635181046103859,0.0015269455358011541,0.19595861428452116,,62360b907c04a7a351564be7c0aa072f7a3b0598c4ab7c8bd35201e71e12029d,reasoning_only_4to8_budget10.json
stage2b_frozen,random_seed1001,Random (seed 1001),4to8,0.1,322122547,320864256,102,4.5234375,0.09066929572864754,0.06586383412679671,0.08821370829242932,0.1008993150069237,0.06586383412679671,0.08641153828869932,,637c99058f7ef809666998bd6fef1087be0fc7bb0ffac0c5184622b6406914da,random_seed1001_4to8_budget10.json
stage2b_frozen,random_seed1002,Random (seed 1002),4to8,0.1,322122547,320864256,102,4.5234375,0.0994448320720592,0.1389353099031428,0.11957700286027949,0.05836236636924215,0.05836236636924215,0.1040798778011809,,942f5f1405154460b14d5d5efba12b007d01aa1647181ebc5a83e9080bf5786c,random_seed1002_4to8_budget10.json
stage2b_frozen,random_seed1003,Random (seed 1003),4to8,0.1,322122547,320864256,102,4.5234375,0.0957656616379711,0.0829034095960595,0.11188010722588342,0.09026918701048761,0.0829034095960595,0.0952045913676004,,e59c02c347799c190afb834180242070d7e0245e1ed37d971e288632f64acc78,random_seed1003_4to8_budget10.json
stage2b_frozen,random_seed1004,Random (seed 1004),4to8,0.1,322122547,320864256,102,4.5234375,0.08747726210365858,0.07137422231729557,0.1081903424503106,0.0516853317281744,0.0516853317281744,0.0796817896498598,,8ef5d57726c3ed8383e336953d8c4a9dd38212fecdea815d0ad13959332eefbd,random_seed1004_4to8_budget10.json
stage2b_frozen,random_seed1005,Random (seed 1005),4to8,0.1,322122547,320864256,102,4.5234375,0.06201626097107869,0.08340535741376266,0.060443895105193775,0.15434386195759373,0.060443895105193775,0.09005234386190722,,86ebdd726f7857a11ac7562bfe88d6b0d4d4736607adacfcf6040c8ee4604772,random_seed1005_4to8_budget10.json
stage2b_frozen,robust_functional,Robust-Functional,4to8,0.2,644245094,641728512,204,4.921875,0.5825781651679067,0.5872040306633434,0.5858990281811531,0.5862638748740006,0.5825781651679067,0.585486274721601,,dafa0bdfaed86cb6afa02b89289fafe6724767c4e1ec7faf76eead509282567e,robust_functional_4to8_budget20.json
stage2b_frozen,robust_routing,Robust-Routing,4to8,0.2,644245094,641728512,204,4.921875,0.5115506724456187,0.5460106902322726,0.5874687668249429,0.5560412028615942,0.5115506724456187,0.550267833091107,,532d845afe317f2ecb52b5bed767b21bdb0436bbdafa5a4433569792838aa3f6,robust_routing_4to8_budget20.json
stage2b_frozen,average_specialization,Average-Specialization,4to8,0.2,644245094,641728512,204,4.921875,0.4316455309381456,0.6171209063717683,0.7516117904820294,0.6049922837140616,0.4316455309381456,0.6013426278765013,,7545c7f9655c151bf1e13a3549e4dbafe111eb80db3348c64e6bcd34bbe008c8,average_specialization_4to8_budget20.json
