regime,budget_fraction,method,coverage_general,coverage_math,coverage_coding,coverage_reasoning,coverage_min,predicted_max_residual_risk
4to8,0.05,fragility_robust,0.12214248337985403,0.03986162104235102,0.6425282353325135,0.0,0.0,0.6993027827128511
4to8,0.05,robust_functional,0.2504194570732099,0.2619468024141709,0.24863939433621055,0.24334117147220166,0.24334117147220166,1.4529079741460984
4to8,0.05,average_specialization,0.09489888853316453,0.27878818385760307,0.3970673776964887,0.3095546090030166,0.09489888853316453,1.1658923933650769
4to8,0.05,global_importance,0.001338864169389044,0.20608592597645461,0.44506905607705377,0.1145702170744679,0.001338864169389044,1.073071421962263
4to8,0.1,fragility_robust,0.357631455819677,0.29422150541037845,0.7369454934697494,0.0577172558431574,0.0577172558431574,0.5140434712975676
4to8,0.1,robust_functional,0.3953422664745733,0.39726739287366347,0.3970673776964887,0.39479812853204405,0.39479812853204405,1.1658923933650769
4to8,0.1,average_specialization,0.23211870990825256,0.4242400759873484,0.6069421252425719,0.4145928362311662,0.23211870990825256,0.7600570434904128
4to8,0.1,global_importance,0.001338864169389044,0.2579756009805054,0.6471657114252791,0.27643867905005326,0.001338864169389044,0.7946349882040797
4to8,0.2,fragility_robust,0.5778446590485312,0.5371618789768434,0.8289047138876104,0.384180987054942,0.384180987054942,0.3371013939974556
4to8,0.2,robust_functional,0.5825781651679067,0.5872040306633434,0.5858990281811531,0.5862638748740006,0.5825781651679067,0.8007481354784673
4to8,0.2,average_specialization,0.4316455309381456,0.6171209063717683,0.7516117904820294,0.6049922837140616,0.4316455309381456,0.4803089323184668
4to8,0.2,global_importance,0.09572000152871439,0.35558235277764993,0.8083845276118692,0.4705457421480606,0.09572000152871439,0.7195358867357553
4to8,0.3,fragility_robust,0.7200118245633095,0.694549691589929,0.8857979879594611,0.5873315018062816,0.5873315018062816,0.2237742970205967
4to8,0.3,robust_functional,0.7200118245633095,0.7203755865655739,0.719617406754772,0.7196257129000131,0.719617406754772,0.5421765560597399
4to8,0.3,average_specialization,0.6534314688931833,0.730388918941125,0.8509715837169156,0.6811360310411921,0.6534314688931833,0.28817663949891137
4to8,0.3,global_importance,0.20270578741682505,0.512207832496625,0.856804274704831,0.6055742305374933,0.20270578741682505,0.634407262363591
3to8,0.05,fragility_robust,0.3957488288857948,0.1472548576533191,0.0,0.18087984852379627,0.0,0.795512548995676
3to8,0.05,robust_functional,0.2504194570732099,0.2619468024141709,0.24863939433621055,0.24334117147220166,0.24334117147220166,0.9868424868448473
3to8,0.05,average_specialization,0.09489888853316453,0.27878818385760307,0.3970673776964887,0.3095546090030166,0.09489888853316453,1.1915894030525862
3to8,0.05,global_importance,0.001338864169389044,0.20608592597645461,0.44506905607705377,0.1145702170744679,0.001338864169389044,1.3147636342724998
3to8,0.1,fragility_robust,0.5242121017278482,0.32196729389792744,0.19493973330587108,0.3499251428518584,0.19493973330587108,0.632439741512565
3to8,0.1,robust_functional,0.3953422664745733,0.39726739287366347,0.3970673776964887,0.39479812853204405,0.39479812853204405,0.7960477990961935
3to8,0.1,average_specialization,0.23211870990825256,0.4242400759873484,0.6069421252425719,0.4145928362311662,0.23211870990825256,1.0109359015069581
3to8,0.1,global_importance,0.001338864169389044,0.2579756009805054,0.6471657114252791,0.27643867905005326,0.001338864169389044,1.3147636342724998
3to8,0.2,fragility_robust,0.6774322519445913,0.5435910916840424,0.4653519347955657,0.5617359299765873,0.4653519347955657,0.4248419058046118
3to8,0.2,robust_functional,0.5825781651679067,0.5872040306633434,0.5858990281811531,0.5862638748740006,0.5825781651679067,0.5495468171313971
3to8,0.2,average_specialization,0.4316455309381456,0.6171209063717683,0.7516117904820294,0.6049922837140616,0.4316455309381456,0.748253597229728
3to8,0.2,global_importance,0.09572000152871439,0.35558235277764993,0.8083845276118692,0.4705457421480606,0.09572000152871439,1.1905083862116939
3to8,0.3,fragility_robust,0.784684036353061,0.6941025660610805,0.6420363307956184,0.7049965452633692,0.6420363307956184,0.2852851440494417
3to8,0.3,robust_functional,0.7200118245633095,0.7203755865655739,0.719617406754772,0.7196257129000131,0.719617406754772,0.36861179221147566
3to8,0.3,average_specialization,0.6534314688931833,0.730388918941125,0.8509715837169156,0.6811360310411921,0.6534314688931833,0.4562665804587461
3to8,0.3,global_importance,0.20270578741682505,0.512207832496625,0.856804274704831,0.6055742305374933,0.20270578741682505,1.0496587870603655
