metric,domain_a,domain_b,layer,layer_ordinal,spearman,kendall_tau,bootstrap_mean_spearman,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates
routing_frequency,general,math,0,0,0.12280500930437434,0.0764268084190917,0.13863877952571943,0.055433164503400204,0.2045207416364304,100
routing_frequency,general,math,1,1,0.5506473288745479,0.4291739154637001,0.5508515079279007,0.5081869872627869,0.6078169890278777,100
routing_frequency,general,math,2,2,0.09478238970672405,0.07344913151364764,0.10007308313083475,-0.005832156728620195,0.2128195266565415,100
routing_frequency,general,math,3,3,0.41956569024121065,0.28642343895389116,0.40185289833771454,0.33288661495408695,0.4892712828993041,100
routing_frequency,general,math,4,4,0.12862605062738328,0.09088658607310782,0.12976970114210037,0.032228682514425594,0.2456296557611208,100
routing_frequency,general,math,5,5,0.1734033906955653,0.11863986466201039,0.15915961593924377,0.04762126440869076,0.2681584502798258,100
routing_frequency,general,math,6,6,0.20906832726103322,0.1503349091161863,0.21529744352460345,0.1130821798510332,0.3185821562241132,100
routing_frequency,general,math,7,7,0.1597389961447975,0.10975915635738083,0.16902147391620276,0.08361619427343708,0.2656097195813848,100
routing_frequency,general,math,8,8,0.3576007326007326,0.2628968253968254,0.3617489870005815,0.271962375865387,0.459277985732026,100
routing_frequency,general,math,9,9,0.2831141179484236,0.19905684405634377,0.2842339799023738,0.19885676530161556,0.3718848632307014,100
routing_frequency,general,math,10,10,0.2758565428552964,0.1990568931067669,0.2612763507883359,0.18139922537218467,0.35444159648544704,100
routing_frequency,general,math,11,11,0.4247530306257063,0.30910445009697707,0.4173733452549221,0.3247807053239286,0.5043064173410002,100
routing_frequency,general,math,12,12,0.3968406593406593,0.2926587301587301,0.3772281595898504,0.3025943067590578,0.45815046307247587,100
routing_frequency,general,math,13,13,0.33498935423967285,0.2511166562341584,0.3317881873998874,0.23400235612514161,0.4183119694480126,100
routing_frequency,general,math,14,14,0.3933882027295592,0.2823120900564686,0.37407147518734635,0.2976727553152098,0.45328762110995435,100
routing_frequency,general,math,15,15,0.4884096294835614,0.3658476161334797,0.474499251495786,0.4069934623565881,0.542949063636177,100
routing_frequency,general,math,average,average,0.30084934079245296,0.21857149473742288,0.2966802650039627,0.2365660544397024,0.36579744328854397,100
routing_frequency,general,coding,0,0,-0.07568941241609967,-0.047158105200380704,-0.0703825523993831,-0.1307955552167696,0.003934435211307093,100
routing_frequency,general,coding,1,1,0.15556674832299272,0.11315136476426797,0.15536689799964534,0.09907046029067142,0.21711381356085926,100
routing_frequency,general,coding,2,2,0.0237640082891976,0.03125775338059319,0.03065475396622523,-0.03868332345577455,0.10628956376112762,100
routing_frequency,general,coding,3,3,-0.17056641787627638,-0.11618669314796427,-0.1625228256210476,-0.24038111755585048,-0.09381505852502164,100
routing_frequency,general,coding,4,4,-0.04122354133113903,-0.01689022194791289,-0.04270012320606856,-0.12173890977312198,0.05119508231288847,100
routing_frequency,general,coding,5,5,-0.15508596812599398,-0.11315137869839549,-0.13833838892698846,-0.2277659489915988,-0.02436874582401527,100
routing_frequency,general,coding,6,6,-0.026467019282733314,-0.04172878363602008,-0.0268215082305998,-0.12915939560074632,0.061111990027099924,100
routing_frequency,general,coding,7,7,-0.0018315647287622423,0.0024820055368621422,0.011134544140160931,-0.07970116814951711,0.10188194609577807,100
