arch,method,corruption,severity,n,n_correct,error_pct
Hendrycks2020AugMix_WRN,norm,pixelate,5,10000,8501,14.990000000000004
Hendrycks2020AugMix_WRN,norm,jpeg_compression,5,10000,8254,17.459999999999997
Hendrycks2020AugMix_WRN,tent,gaussian_noise,5,10000,8439,15.610000000000001
Hendrycks2020AugMix_WRN,tent,shot_noise,5,10000,8679,13.209999999999999
Hendrycks2020AugMix_WRN,tent,impulse_noise,5,10000,8124,18.759999999999998
Hendrycks2020AugMix_WRN,tent,defocus_blur,5,10000,9209,7.909999999999995
Hendrycks2020AugMix_WRN,tent,glass_blur,5,10000,8184,18.159999999999997
Hendrycks2020AugMix_WRN,tent,motion_blur,5,10000,9103,8.97
Hendrycks2020AugMix_WRN,tent,zoom_blur,5,10000,9200,7.9999999999999964
Hendrycks2020AugMix_WRN,tent,snow,5,10000,8960,10.399999999999999
Hendrycks2020AugMix_WRN,tent,frost,5,10000,8914,10.860000000000003
Hendrycks2020AugMix_WRN,tent,fog,5,10000,8766,12.339999999999996
Hendrycks2020AugMix_WRN,tent,brightness,5,10000,9334,6.659999999999999
Hendrycks2020AugMix_WRN,tent,contrast,5,10000,8997,10.029999999999994
Hendrycks2020AugMix_WRN,tent,elastic_transform,5,10000,8599,14.01
Hendrycks2020AugMix_WRN,tent,pixelate,5,10000,8861,11.39
Hendrycks2020AugMix_WRN,tent,jpeg_compression,5,10000,8525,14.749999999999996
Hendrycks2020AugMix_WRN,tent_continual,gaussian_noise,5,10000,8439,15.610000000000001
Hendrycks2020AugMix_WRN,tent_continual,shot_noise,5,10000,8789,12.11
Hendrycks2020AugMix_WRN,tent_continual,impulse_noise,5,10000,8281,17.190000000000005
Hendrycks2020AugMix_WRN,tent_continual,defocus_blur,5,10000,9029,9.709999999999997
Hendrycks2020AugMix_WRN,tent_continual,glass_blur,5,10000,8114,18.86
Hendrycks2020AugMix_WRN,tent_continual,motion_blur,5,10000,8750,12.5
Hendrycks2020AugMix_WRN,tent_continual,zoom_blur,5,10000,8887,11.129999999999995
Hendrycks2020AugMix_WRN,tent_continual,snow,5,10000,8602,13.980000000000004
Hendrycks2020AugMix_WRN,tent_continual,frost,5,10000,8677,13.229999999999997
Hendrycks2020AugMix_WRN,tent_continual,fog,5,10000,8465,15.349999999999998
Hendrycks2020AugMix_WRN,tent_continual,brightness,5,10000,9000,9.999999999999998
Hendrycks2020AugMix_WRN,tent_continual,contrast,5,10000,8703,12.970000000000004
Hendrycks2020AugMix_WRN,tent_continual,elastic_transform,5,10000,8356,16.439999999999998
Hendrycks2020AugMix_WRN,tent_continual,pixelate,5,10000,8640,13.600000000000001
Hendrycks2020AugMix_WRN,tent_continual,jpeg_compression,5,10000,8110,18.899999999999995
