first,second,regime,budget_fraction,metric,difference,difference_ci_low,difference_ci_high,favors_first,ci_excludes_zero,ci_favors_first
robust_functional,random_mean,3to8,0.2,worst_relative_delta,-0.011264349533297545,-0.016968520074192018,-0.007779893706131224,True,True,True
robust_functional,global_importance,3to8,0.2,worst_relative_delta,-0.002468725756234219,-0.008172308441542956,0.008596736671146465,True,False,False
robust_functional,global_importance,3to8,0.2,mean_relative_delta,0.006929792708209287,0.0040601963696613,0.009690609191685849,False,True,False
robust_functional,average_specialization,3to8,0.2,worst_relative_delta,0.002559911480080751,-0.0005570530377688955,0.005887218733521902,False,False,False
robust_functional,average_specialization,3to8,0.2,mean_relative_delta,0.0014565357798132922,-0.00023496974607262257,0.0030885352812330463,False,False,False
robust_functional,general_only,3to8,0.2,worst_relative_delta,-0.005251258953258939,-0.01756242587020071,0.012599995582296216,True,False,False
robust_functional,general_only,3to8,0.2,mean_relative_delta,-0.0010694286667964,-0.004498287834922224,0.0021128316590888776,True,False,False
robust_functional,math_only,3to8,0.2,worst_relative_delta,-0.003046636072902155,-0.015078377296598637,0.005983962463296151,True,False,False
robust_functional,math_only,3to8,0.2,mean_relative_delta,0.0005911202124178408,-0.0025546191778538377,0.0035625923515992465,False,False,False
robust_functional,coding_only,3to8,0.2,worst_relative_delta,-0.006418259623261147,-0.013027388119106817,0.005087884962740027,True,False,False
robust_functional,coding_only,3to8,0.2,mean_relative_delta,0.005077920649957615,0.0019117845694513512,0.008064922683273416,False,True,False
robust_functional,reasoning_only,3to8,0.2,worst_relative_delta,-0.006832332645618194,-0.019376623791657825,0.0003988740941316514,True,False,False
robust_functional,reasoning_only,3to8,0.2,mean_relative_delta,0.0006852249256079912,-0.002377252649477147,0.003950693794101938,False,False,False
robust_functional,robust_routing,3to8,0.2,worst_relative_delta,-0.005220162420521757,-0.011525982037421056,-0.002595937831408682,True,True,True
robust_functional,robust_routing,3to8,0.2,mean_relative_delta,-0.009089678059592342,-0.011302521596207189,-0.0067551305373099065,True,True,True
robust_functional,random_mean,4to8,0.2,worst_relative_delta,0.0051385692432229305,0.002054310484161072,0.0074246677329382164,False,True,False
robust_functional,global_importance,4to8,0.2,worst_relative_delta,0.019573513772020483,0.012833534882339702,0.022418014719694415,False,True,False
robust_functional,global_importance,4to8,0.2,mean_relative_delta,0.003506593746082882,0.0019233438166051202,0.0049381018123647044,False,True,False
robust_functional,average_specialization,4to8,0.2,worst_relative_delta,0.0026952187893521766,0.0008684923463830884,0.004557699509218424,False,True,False
robust_functional,average_specialization,4to8,0.2,mean_relative_delta,0.00041620570418409407,-0.0006367639559486024,0.0013514775154792513,False,False,False
robust_functional,general_only,4to8,0.2,worst_relative_delta,0.012301621170108235,0.008781976898971519,0.015670375237297876,False,True,False
robust_functional,general_only,4to8,0.2,mean_relative_delta,0.002240389420457933,0.0005001444579643057,0.0037609517653859254,False,True,False
robust_functional,math_only,4to8,0.2,worst_relative_delta,0.009880408307283633,0.007278887916770199,0.012587477512706722,False,True,False
robust_functional,math_only,4to8,0.2,mean_relative_delta,0.0010466302676158511,-0.0004233603026228437,0.0025245445630727326,False,False,False
robust_functional,coding_only,4to8,0.2,worst_relative_delta,0.018416714271084943,0.011611119095626643,0.024225104486847435,False,True,False
robust_functional,coding_only,4to8,0.2,mean_relative_delta,0.0033297555368567815,0.001346708005431051,0.005227102432439574,False,True,False
robust_functional,reasoning_only,4to8,0.2,worst_relative_delta,0.01140734491209305,0.008329112968846485,0.014481101064386078,False,True,False
robust_functional,reasoning_only,4to8,0.2,mean_relative_delta,0.0012886108611570978,-0.0002053631969086096,0.0027290445286953123,False,False,False
robust_functional,robust_routing,4to8,0.2,worst_relative_delta,0.0015604291337122482,-0.001037147861384735,0.004297801378725635,False,False,False
robust_functional,robust_routing,4to8,0.2,mean_relative_delta,-0.004160911871691306,-0.005836946664540823,-0.0024829268142448676,True,True,True
