diagnostic,spearman_with_headroom,p_value_descriptive,conditions
normalized_frequency_entropy_mean,-0.021866054420915132,0.8801937528012865,50
top_10_traffic_share_mean,0.03838707331671768,0.79126393126851,50
gini_mean,0.021866054420915132,0.8801937528012865,50
consecutive_jaccard_mean,0.08816764703999877,0.5426182872606201,50
reuse_within_10_events,0.08816764703999877,0.5426182872606201,50
activity_lag1_autocorrelation_mean,0.09979414994637223,0.4904913597430958,50
adjacent_segment_js_mean,0.14543228938441985,0.48791101055238667,25
pairwise_domain_js_mean,0.09646891545281058,0.612073658942793,30
