workload,regime,capacity,best_simple_policy,best_simple_cost,oracle_cost,absolute_gap,headroom,headroom_ci_low,headroom_ci_high,absolute_gap_ci_low,absolute_gap_ci_high,mean_sequence_absolute_gap,median_sequence_absolute_gap,paired_standardized_effect,sequences
repeated_domain_cycle,repeated,24,lfu_decay(alpha=0.95),390600.0,244364.0,146236.0,0.3743881208397337,0.3647326025640694,0.3832344828622918,136762.45,155826.475,1462.36,1531.5,2.6837542847645364,100
repeated_domain_cycle,repeated,32,lfu_decay(alpha=0.95),243124.0,132133.0,110991.0,0.4565201296457775,0.4475494885761182,0.46422107072800933,102774.275,118828.4,1109.91,1123.0,2.3356063391525463,100
stationary_coding,stationary,8,lru,690459.0,690459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
stationary_coding,stationary,12,lfu_decay(alpha=0.95),478097.0,387103.0,90994.0,0.19032539421916472,0.18327507991516284,0.1962098639532664,87694.35,93577.2,1137.425,1167.0,6.91281813237815,80
stationary_coding,stationary,16,lfu_decay(alpha=0.95),362112.0,258999.0,103113.0,0.28475444061505834,0.27646226491726394,0.2935748018869617,99763.85,106607.05,1288.9125,1334.0,6.391743041901774,80
stationary_coding,stationary,24,lfu_decay(alpha=0.95),214192.0,128628.0,85564.0,0.3994733696870098,0.3909467229910309,0.40540489726549667,82272.725,88106.4,1069.55,1102.5,5.803178884187087,80
stationary_coding,stationary,32,lfu_decay(alpha=0.95),122784.0,65310.0,57474.0,0.46809030492572323,0.45945724446007663,0.4736098347587815,54595.975,59676.075,718.425,749.0,4.6541410234370195,80
stationary_general,stationary,8,lru,743541.0,743541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
stationary_general,stationary,12,lfu_decay(alpha=0.95),591023.0,490816.0,100207.0,0.16954839320973972,0.16506430792434842,0.1747300389178415,94473.375,105988.525,1252.5875,1371.0,3.5043459846877694,80
stationary_general,stationary,16,lfu_decay(alpha=0.95),488647.0,361227.0,127420.0,0.2607608355315801,0.2535980166298442,0.26826074988159193,117496.175,136627.5,1592.75,1746.0,2.9979210342162115,80
stationary_general,stationary,24,lfu_decay(alpha=0.95),330793.0,206469.0,124324.0,0.37583624804636134,0.36618047912069573,0.38587105092956037,113549.4,134783.15,1554.05,1721.5,2.5610319115401503,80
stationary_general,stationary,32,lfu_decay(alpha=0.95),211706.0,114832.0,96874.0,0.4575874089539267,0.44697877759661514,0.46752736043762444,87798.375,105207.475,1210.925,1312.5,2.2658992351606217,80
stationary_math,stationary,8,lru,756075.0,756075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
stationary_math,stationary,12,lfu_decay(alpha=0.95),586400.0,487947.0,98453.0,0.16789392905866302,0.16243798969865034,0.17402340254414028,93715.225,103520.5,1230.6625,1220.0,4.4156303911543,80
stationary_math,stationary,16,lfu_decay(alpha=0.95),481163.0,359594.0,121569.0,0.2526565841513167,0.2433993745515688,0.2607056936352253,114660.0,128589.05,1519.6125,1528.5,3.8380210938906494,80
stationary_math,stationary,24,lfu_decay(alpha=0.95),318036.0,202555.0,115481.0,0.3631066923241394,0.3533349804615712,0.37266377913762627,108464.25,122552.025,1443.5125,1462.5,3.5025006597042094,80
stationary_math,stationary,32,lfu_decay(alpha=0.95),193152.0,106587.0,86565.0,0.4481703528827038,0.4394802930327475,0.456512186271135,80875.425,92238.97499999999,1082.0625,1068.5,3.187529315092821,80
stationary_reasoning,stationary,8,lru,802545.0,802545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
stationary_reasoning,stationary,12,lfu_decay(alpha=0.95),650118.0,530522.0,119596.0,0.1839604502567226,0.1806756362834219,0.18718830239763595,116847.175,122249.225,1494.95,1494.5,9.207039244101686,80
stationary_reasoning,stationary,16,lfu_decay(alpha=0.95),540368.0,395463.0,144905.0,0.2681598466230421,0.26309393409303083,0.2732617344882305,140670.7,149054.325,1811.3125,1802.5,7.589159267104514,80
stationary_reasoning,stationary,24,lfu_decay(alpha=0.95),367556.0,230349.0,137207.0,0.37329549782890226,0.36614603411812496,0.3801314862905265,132266.75,141994.95,1715.0875,1729.5,6.247056199805707,80
stationary_reasoning,stationary,32,lfu_decay(alpha=0.95),236020.0,129629.0,106391.0,0.4507711210914329,0.4451538142628063,0.456342549181445,102317.65,110580.725,1329.8875,1354.5,5.194054483910821,80
